Position	Counts	End
-20	223	5
-19	308	5
-18	305	5
-17	311	5
-16	339	5
-15	357	5
-14	304	5
-13	288	5
-12	316	5
-11	366	5
-10	250	5
-9	362	5
-8	303	5
-7	306	5
-6	299	5
-5	280	5
-4	275	5
-3	308	5
-2	230	5
-1	271	5
0	281	5
1	403	5
2	420	5
3	222	5
4	593	5
5	385	5
6	67	5
7	151	5
8	146	5
9	289	5
10	242	5
11	262	5
12	224	5
13	239	5
14	289	5
15	269	5
16	276	5
17	285	5
18	310	5
19	297	5
20	280	5
21	251	5
22	221	5
23	284	5
24	256	5
25	237	5
-20	374	3
-19	337	3
-18	237	3
-17	306	3
-16	282	3
-15	276	3
-14	332	3
-13	303	3
-12	303	3
-11	314	3
-10	304	3
-9	292	3
-8	315	3
-7	304	3
-6	297	3
-5	329	3
-4	330	3
-3	279	3
-2	383	3
-1	260	3
0	282	3
1	63	3
2	1009	3
3	396	3
4	288	3
5	298	3
6	352	3
7	370	3
8	406	3
9	328	3
10	276	3
11	413	3
12	382	3
13	408	3
14	407	3
15	446	3
16	377	3
17	431	3
18	389	3
19	395	3
20	391	3
21	395	3
22	513	3
23	417	3
24	441	3
25	437	3
