Position	Counts	End
-20	175	5
-19	135	5
-18	139	5
-17	138	5
-16	146	5
-15	241	5
-14	150	5
-13	217	5
-12	118	5
-11	156	5
-10	295	5
-9	1650	5
-8	12660	5
-7	12664	5
-6	3390	5
-5	5512	5
-4	6071	5
-3	3138	5
-2	4159	5
-1	3994	5
0	2881	5
1	9467	5
2	8576	5
3	1555	5
4	7693	5
5	7031	5
6	1229	5
7	1277	5
8	2579	5
9	1659	5
10	3907	5
11	3697	5
12	1659	5
13	3054	5
14	4575	5
15	1664	5
16	3925	5
17	4118	5
18	3339	5
19	3648	5
20	3550	5
21	1496	5
22	3410	5
23	4135	5
24	2555	5
25	4438	5
-20	2498	3
-19	941	3
-18	1800	3
-17	2449	3
-16	520	3
-15	1162	3
-14	1079	3
-13	475	3
-12	219	3
-11	304	3
-10	259	3
-9	137	3
-8	125	3
-7	86	3
-6	50	3
-5	60	3
-4	49	3
-3	31	3
-2	47	3
-1	65	3
0	29	3
1	41	3
2	93	3
3	31	3
4	38	3
5	29	3
6	43	3
7	46	3
8	35	3
9	32	3
10	31	3
11	37	3
12	55	3
13	32	3
14	42	3
15	43	3
16	40	3
17	36	3
18	31	3
19	44	3
20	45	3
21	80	3
22	51	3
23	52	3
24	37	3
25	76	3
