Position	Counts	End
-20	426	5
-19	341	5
-18	365	5
-17	344	5
-16	415	5
-15	556	5
-14	433	5
-13	372	5
-12	394	5
-11	444	5
-10	395	5
-9	441	5
-8	493	5
-7	426	5
-6	464	5
-5	386	5
-4	427	5
-3	446	5
-2	443	5
-1	416	5
0	434	5
1	636	5
2	610	5
3	458	5
4	612	5
5	690	5
6	539	5
7	291	5
8	363	5
9	372	5
10	522	5
11	476	5
12	367	5
13	480	5
14	474	5
15	463	5
16	474	5
17	503	5
18	464	5
19	482	5
20	505	5
21	485	5
22	533	5
23	520	5
24	363	5
25	539	5
-20	579	3
-19	581	3
-18	549	3
-17	514	3
-16	517	3
-15	536	3
-14	477	3
-13	445	3
-12	467	3
-11	488	3
-10	447	3
-9	467	3
-8	474	3
-7	518	3
-6	427	3
-5	486	3
-4	446	3
-3	468	3
-2	467	3
-1	501	3
0	508	3
1	535	3
2	772	3
3	419	3
4	407	3
5	474	3
6	567	3
7	487	3
8	536	3
9	496	3
10	489	3
11	649	3
12	545	3
13	514	3
14	514	3
15	514	3
16	481	3
17	469	3
18	532	3
19	577	3
20	500	3
21	534	3
22	539	3
23	594	3
24	555	3
25	509	3
