Position	Counts	End
-20	2775	5
-19	2461	5
-18	2074	5
-17	1849	5
-16	1827	5
-15	6906	5
-14	2112	5
-13	1736	5
-12	1716	5
-11	2189	5
-10	1585	5
-9	1754	5
-8	1481	5
-7	1676	5
-6	1772	5
-5	1774	5
-4	1555	5
-3	1677	5
-2	1605	5
-1	1952	5
0	2034	5
1	2152	5
2	1485	5
3	1670	5
4	1921	5
5	2616	5
6	2427	5
7	1300	5
8	9245	5
9	3314	5
10	2673	5
11	3164	5
12	5225	5
13	2741	5
14	2588	5
15	4653	5
16	3182	5
17	2710	5
18	4412	5
19	2630	5
20	3319	5
21	3511	5
22	2802	5
23	3131	5
24	3832	5
25	2958	5
-20	4403	3
-19	5212	3
-18	3019	3
-17	3748	3
-16	4600	3
-15	4628	3
-14	4452	3
-13	7573	3
-12	4362	3
-11	4862	3
-10	6582	3
-9	4503	3
-8	5952	3
-7	8484	3
-6	6677	3
-5	9075	3
-4	7134	3
-3	5194	3
-2	8298	3
-1	8251	3
0	6050	3
1	7003	3
2	4807	3
3	12927	3
4	11219	3
5	9803	3
6	8345	3
7	7594	3
8	9342	3
9	7843	3
10	9787	3
11	8408	3
12	8488	3
13	9879	3
14	8348	3
15	8298	3
16	9038	3
17	8223	3
18	7884	3
19	9722	3
20	7928	3
21	8650	3
22	9952	3
23	10201	3
24	9905	3
25	10238	3
