Position	Counts	End
-20	4659	5
-19	4259	5
-18	4751	5
-17	4645	5
-16	4599	5
-15	5453	5
-14	4645	5
-13	4447	5
-12	4403	5
-11	4450	5
-10	4152	5
-9	4263	5
-8	4072	5
-7	3995	5
-6	4621	5
-5	3818	5
-4	4104	5
-3	3853	5
-2	4185	5
-1	3920	5
0	3967	5
1	4213	5
2	4080	5
3	3648	5
4	3657	5
5	5449	5
6	6317	5
7	4265	5
8	4402	5
9	3703	5
10	4503	5
11	4488	5
12	4001	5
13	3959	5
14	4025	5
15	3825	5
16	4034	5
17	4443	5
18	4157	5
19	3751	5
20	3998	5
21	3949	5
22	4203	5
23	4033	5
24	3833	5
25	4399	5
-20	8056	3
-19	7564	3
-18	7986	3
-17	8296	3
-16	8008	3
-15	8101	3
-14	7872	3
-13	7659	3
-12	8359	3
-11	7827	3
-10	7776	3
-9	7874	3
-8	8080	3
-7	8277	3
-6	7876	3
-5	8627	3
-4	7999	3
-3	7294	3
-2	7809	3
-1	7625	3
0	8761	3
1	8608	3
2	8893	3
3	7966	3
4	8558	3
5	7511	3
6	7903	3
7	7547	3
8	8242	3
9	7787	3
10	8147	3
11	7938	3
12	7819	3
13	7855	3
14	7698	3
15	7605	3
16	7405	3
17	7470	3
18	7633	3
19	8057	3
20	7583	3
21	8041	3
22	7841	3
23	7759	3
24	7903	3
25	7598	3
