Position	Counts	End
-20	4512	5
-19	5342	5
-18	5022	5
-17	6082	5
-16	6719	5
-15	5354	5
-14	5256	5
-13	5597	5
-12	4959	5
-11	6349	5
-10	5011	5
-9	4812	5
-8	4903	5
-7	5820	5
-6	5180	5
-5	4734	5
-4	5437	5
-3	5645	5
-2	5099	5
-1	5335	5
0	5002	5
1	5272	5
2	5182	5
3	4282	5
4	4520	5
5	5704	5
6	6661	5
7	5008	5
8	6341	5
9	4512	5
10	5471	5
11	5511	5
12	5542	5
13	5066	5
14	5761	5
15	5217	5
16	5199	5
17	5442	5
18	5148	5
19	4992	5
20	5910	5
21	5337	5
22	5369	5
23	5851	5
24	5908	5
25	5241	5
-20	8143	3
-19	8078	3
-18	7281	3
-17	8091	3
-16	8441	3
-15	7721	3
-14	7674	3
-13	7428	3
-12	7257	3
-11	8744	3
-10	7814	3
-9	7846	3
-8	8392	3
-7	8204	3
-6	7744	3
-5	8583	3
-4	8230	3
-3	7110	3
-2	8524	3
-1	7451	3
0	8169	3
1	8543	3
2	9941	3
3	7594	3
4	8522	3
5	7716	3
6	8485	3
7	8019	3
8	8454	3
9	8576	3
10	8242	3
11	8248	3
12	8226	3
13	8149	3
14	8011	3
15	8225	3
16	7678	3
17	7950	3
18	7869	3
19	8045	3
20	8006	3
21	7907	3
22	7975	3
23	8225	3
24	7636	3
25	7696	3
