Position	Counts	End
-20	522	5
-19	624	5
-18	631	5
-17	557	5
-16	516	5
-15	3208	5
-14	1260	5
-13	512	5
-12	537	5
-11	595	5
-10	494	5
-9	511	5
-8	493	5
-7	565	5
-6	617	5
-5	688	5
-4	540	5
-3	646	5
-2	589	5
-1	642	5
0	630	5
1	640	5
2	530	5
3	573	5
4	491	5
5	1393	5
6	1164	5
7	512	5
8	1923	5
9	953	5
10	912	5
11	741	5
12	946	5
13	760	5
14	834	5
15	954	5
16	862	5
17	794	5
18	1061	5
19	911	5
20	893	5
21	1163	5
22	1116	5
23	985	5
24	1209	5
25	984	5
-20	1362	3
-19	1921	3
-18	1472	3
-17	1558	3
-16	2011	3
-15	1801	3
-14	1650	3
-13	2047	3
-12	1675	3
-11	1761	3
-10	2119	3
-9	1695	3
-8	1925	3
-7	2395	3
-6	1794	3
-5	2027	3
-4	2082	3
-3	1802	3
-2	2222	3
-1	2103	3
0	2362	3
1	2553	3
2	2471	3
3	2430	3
4	2822	3
5	2337	3
6	2422	3
7	2041	3
8	2125	3
9	2119	3
10	2500	3
11	5053	3
12	3738	3
13	2099	3
14	1915	3
15	2008	3
16	2052	3
17	1878	3
18	1950	3
19	2417	3
20	2087	3
21	2114	3
22	2166	3
23	2408	3
24	2142	3
25	2335	3
