Position	Counts	End
-20	392	5
-19	370	5
-18	332	5
-17	376	5
-16	311	5
-15	3555	5
-14	922	5
-13	281	5
-12	230	5
-11	323	5
-10	230	5
-9	584	5
-8	4579	5
-7	37489	5
-6	12671	5
-5	4981	5
-4	13191	5
-3	6178	5
-2	3381	5
-1	12422	5
0	6337	5
1	10407	5
2	17160	5
3	5882	5
4	11614	5
5	16043	5
6	5487	5
7	940	5
8	9597	5
9	3818	5
10	2945	5
11	7943	5
12	2788	5
13	2685	5
14	6379	5
15	3474	5
16	2007	5
17	7226	5
18	2897	5
19	2421	5
20	5160	5
21	1777	5
22	1901	5
23	4329	5
24	1419	5
25	1716	5
-20	2488	3
-19	814	3
-18	681	3
-17	2986	3
-16	887	3
-15	1310	3
-14	3051	3
-13	1125	3
-12	461	3
-11	464	3
-10	266	3
-9	229	3
-8	201	3
-7	149	3
-6	238	3
-5	182	3
-4	146	3
-3	164	3
-2	117	3
-1	72	3
0	70	3
1	96	3
2	370	3
3	164	3
4	190	3
5	129	3
6	238	3
7	124	3
8	36	3
9	49	3
10	66	3
11	669	3
12	314	3
13	77	3
14	68	3
15	74	3
16	81	3
17	50	3
18	128	3
19	212	3
20	65	3
21	51	3
22	92	3
23	73	3
24	71	3
25	111	3
