Position	Counts	End
-20	599	5
-19	908	5
-18	539	5
-17	672	5
-16	688	5
-15	25959	5
-14	4497	5
-13	514	5
-12	429	5
-11	435	5
-10	336	5
-9	1146	5
-8	9555	5
-7	81594	5
-6	22673	5
-5	6446	5
-4	25377	5
-3	8504	5
-2	4361	5
-1	18642	5
0	7697	5
1	8657	5
2	26876	5
3	6142	5
4	6682	5
5	30331	5
6	8773	5
7	886	5
8	14433	5
9	4968	5
10	2841	5
11	12805	5
12	3948	5
13	2385	5
14	9920	5
15	4002	5
16	1953	5
17	9399	5
18	3484	5
19	1950	5
20	6226	5
21	2239	5
22	1697	5
23	5829	5
24	2291	5
25	1307	5
-20	3346	3
-19	963	3
-18	684	3
-17	3411	3
-16	1019	3
-15	1056	3
-14	4606	3
-13	1935	3
-12	534	3
-11	298	3
-10	198	3
-9	155	3
-8	162	3
-7	158	3
-6	338	3
-5	128	3
-4	114	3
-3	156	3
-2	109	3
-1	66	3
0	111	3
1	117	3
2	597	3
3	343	3
4	595	3
5	236	3
6	678	3
7	474	3
8	228	3
9	107	3
10	90	3
11	3074	3
12	1374	3
13	152	3
14	161	3
15	274	3
16	229	3
17	91	3
18	226	3
19	563	3
20	359	3
21	87	3
22	150	3
23	92	3
24	76	3
25	93	3
