Position	Counts	End
-20	1313	5
-19	1028	5
-18	1003	5
-17	985	5
-16	919	5
-15	13729	5
-14	2945	5
-13	802	5
-12	823	5
-11	595	5
-10	913	5
-9	5038	5
-8	28762	5
-7	118245	5
-6	21603	5
-5	12118	5
-4	37276	5
-3	9988	5
-2	9253	5
-1	33112	5
0	8742	5
1	16830	5
2	34068	5
3	6110	5
4	11480	5
5	47824	5
6	11116	5
7	6937	5
8	26649	5
9	6853	5
10	8316	5
11	23396	5
12	5364	5
13	5235	5
14	18713	5
15	4483	5
16	4885	5
17	15431	5
18	3927	5
19	4453	5
20	13662	5
21	3349	5
22	3830	5
23	11158	5
24	2646	5
25	3695	5
-20	7481	3
-19	1500	3
-18	2060	3
-17	7846	3
-16	1614	3
-15	2953	3
-14	9583	3
-13	2373	3
-12	674	3
-11	360	3
-10	217	3
-9	168	3
-8	145	3
-7	193	3
-6	157	3
-5	138	3
-4	139	3
-3	164	3
-2	116	3
-1	100	3
0	120	3
1	100	3
2	269	3
3	183	3
4	285	3
5	230	3
6	254	3
7	196	3
8	113	3
9	151	3
10	86	3
11	2199	3
12	609	3
13	118	3
14	145	3
15	182	3
16	203	3
17	181	3
18	229	3
19	344	3
20	219	3
21	171	3
22	199	3
23	130	3
24	198	3
25	254	3
