Position	Counts	End
-20	866	5
-19	748	5
-18	806	5
-17	671	5
-16	674	5
-15	4812	5
-14	1591	5
-13	615	5
-12	681	5
-11	551	5
-10	712	5
-9	3891	5
-8	31271	5
-7	74589	5
-6	17772	5
-5	13618	5
-4	23353	5
-3	9897	5
-2	10761	5
-1	19426	5
0	8805	5
1	21852	5
2	26084	5
3	5329	5
4	23600	5
5	33333	5
6	8357	5
7	7954	5
8	14491	5
9	4332	5
10	8518	5
11	14040	5
12	3824	5
13	5867	5
14	11172	5
15	3451	5
16	5255	5
17	9645	5
18	3633	5
19	4866	5
20	9424	5
21	2538	5
22	3728	5
23	6606	5
24	2500	5
25	4183	5
-20	6191	3
-19	1387	3
-18	2778	3
-17	6651	3
-16	1391	3
-15	4089	3
-14	9352	3
-13	1934	3
-12	912	3
-11	912	3
-10	401	3
-9	647	3
-8	466	3
-7	318	3
-6	396	3
-5	321	3
-4	301	3
-3	310	3
-2	214	3
-1	166	3
0	125	3
1	115	3
2	1098	3
3	188	3
4	241	3
5	159	3
6	177	3
7	136	3
8	122	3
9	122	3
10	77	3
11	892	3
12	316	3
13	127	3
14	117	3
15	120	3
16	134	3
17	116	3
18	292	3
19	266	3
20	157	3
21	108	3
22	149	3
23	134	3
24	140	3
25	222	3
