Position	Counts	End
-20	597	5
-19	564	5
-18	659	5
-17	529	5
-16	593	5
-15	2910	5
-14	833	5
-13	588	5
-12	571	5
-11	502	5
-10	879	5
-9	7511	5
-8	94017	5
-7	118674	5
-6	17108	5
-5	16430	5
-4	19997	5
-3	7038	5
-2	16202	5
-1	20512	5
0	6745	5
1	26286	5
2	22115	5
3	4310	5
4	21307	5
5	28357	5
6	8077	5
7	15469	5
8	17533	5
9	4341	5
10	17975	5
11	20198	5
12	4265	5
13	12772	5
14	21455	5
15	4307	5
16	14322	5
17	21267	5
18	4124	5
19	13715	5
20	18234	5
21	4026	5
22	15004	5
23	21037	5
24	5379	5
25	16285	5
-20	10757	3
-19	2141	3
-18	7857	3
-17	10933	3
-16	1681	3
-15	1803	3
-14	2127	3
-13	498	3
-12	305	3
-11	263	3
-10	192	3
-9	169	3
-8	128	3
-7	135	3
-6	86	3
-5	90	3
-4	133	3
-3	123	3
-2	96	3
-1	85	3
0	59	3
1	66	3
2	117	3
3	85	3
4	96	3
5	61	3
6	53	3
7	43	3
8	60	3
9	48	3
10	72	3
11	436	3
12	153	3
13	58	3
14	52	3
15	66	3
16	107	3
17	61	3
18	72	3
19	89	3
20	75	3
21	64	3
22	86	3
23	159	3
24	66	3
25	82	3
