Position	Counts	End
-20	1085	5
-19	1389	5
-18	1451	5
-17	1765	5
-16	2097	5
-15	1954	5
-14	1775	5
-13	1769	5
-12	1827	5
-11	2013	5
-10	1780	5
-9	1917	5
-8	1781	5
-7	2030	5
-6	1883	5
-5	1655	5
-4	1769	5
-3	1823	5
-2	1503	5
-1	1716	5
0	1599	5
1	1504	5
2	1548	5
3	1897	5
4	1431	5
5	1810	5
6	3019	5
7	1639	5
8	1499	5
9	1619	5
10	2047	5
11	1913	5
12	1896	5
13	1964	5
14	2140	5
15	1841	5
16	1961	5
17	1886	5
18	1698	5
19	1859	5
20	1873	5
21	1819	5
22	2009	5
23	1752	5
24	1875	5
25	1917	5
-20	2733	3
-19	2822	3
-18	3067	3
-17	2656	3
-16	2766	3
-15	2985	3
-14	2699	3
-13	2430	3
-12	2632	3
-11	2499	3
-10	2511	3
-9	2771	3
-8	2709	3
-7	2581	3
-6	2801	3
-5	2706	3
-4	2739	3
-3	2811	3
-2	3079	3
-1	2633	3
0	3001	3
1	2998	3
2	2951	3
3	3118	3
4	3569	3
5	3160	3
6	3286	3
7	3465	3
8	3409	3
9	3100	3
10	3079	3
11	3104	3
12	3314	3
13	3449	3
14	3482	3
15	3409	3
16	3296	3
17	3448	3
18	3402	3
19	3556	3
20	3527	3
21	3488	3
22	3405	3
23	3648	3
24	3807	3
25	3781	3
