Position	Counts	End
-20	726	5
-19	611	5
-18	657	5
-17	658	5
-16	674	5
-15	906	5
-14	681	5
-13	670	5
-12	595	5
-11	752	5
-10	1400	5
-9	8129	5
-8	68305	5
-7	73557	5
-6	7100	5
-5	9439	5
-4	9278	5
-3	2755	5
-2	6739	5
-1	6950	5
0	2617	5
1	12086	5
2	7137	5
3	2612	5
4	6794	5
5	10843	5
6	4367	5
7	8641	5
8	8095	5
9	2176	5
10	10547	5
11	9585	5
12	3013	5
13	9510	5
14	11382	5
15	2630	5
16	9873	5
17	12038	5
18	2231	5
19	10229	5
20	10407	5
21	2587	5
22	10703	5
23	11036	5
24	2935	5
25	11008	5
-20	7310	3
-19	1418	3
-18	6429	3
-17	8118	3
-16	5034	3
-15	27494	3
-14	27448	3
-13	1942	3
-12	903	3
-11	879	3
-10	532	3
-9	461	3
-8	353	3
-7	296	3
-6	312	3
-5	255	3
-4	239	3
-3	300	3
-2	222	3
-1	146	3
0	141	3
1	123	3
2	112	3
3	129	3
4	124	3
5	126	3
6	106	3
7	115	3
8	107	3
9	89	3
10	67	3
11	101	3
12	97	3
13	90	3
14	94	3
15	85	3
16	106	3
17	86	3
18	56	3
19	158	3
20	77	3
21	78	3
22	199	3
23	67	3
24	81	3
25	76	3
