Position	Counts	End
-20	2658	5
-19	2936	5
-18	3255	5
-17	3719	5
-16	4888	5
-15	3813	5
-14	3781	5
-13	3926	5
-12	3776	5
-11	4093	5
-10	3569	5
-9	3813	5
-8	3713	5
-7	4210	5
-6	3924	5
-5	3794	5
-4	4020	5
-3	4140	5
-2	3744	5
-1	3864	5
0	3542	5
1	3815	5
2	3684	5
3	4163	5
4	3444	5
5	4532	5
6	6588	5
7	4136	5
8	2930	5
9	3289	5
10	4205	5
11	4144	5
12	4235	5
13	4189	5
14	4738	5
15	3971	5
16	4143	5
17	4334	5
18	4211	5
19	4320	5
20	4477	5
21	4110	5
22	4554	5
23	4395	5
24	4409	5
25	4497	5
-20	9490	3
-19	9369	3
-18	9607	3
-17	9380	3
-16	9202	3
-15	10148	3
-14	9278	3
-13	8123	3
-12	8645	3
-11	8737	3
-10	8313	3
-9	8971	3
-8	8681	3
-7	8289	3
-6	8775	3
-5	8755	3
-4	8672	3
-3	8398	3
-2	8393	3
-1	7995	3
0	9044	3
1	9848	3
2	9243	3
3	9139	3
4	9815	3
5	8912	3
6	9217	3
7	9297	3
8	9279	3
9	8652	3
10	8642	3
11	8371	3
12	8538	3
13	8806	3
14	8944	3
15	9324	3
16	8897	3
17	9147	3
18	9095	3
19	9302	3
20	9088	3
21	9287	3
22	9358	3
23	9453	3
24	9624	3
25	9755	3
