Position	Counts	End
-20	410	5
-19	261	5
-18	315	5
-17	334	5
-16	273	5
-15	270	5
-14	247	5
-13	283	5
-12	223	5
-11	171	5
-10	311	5
-9	1118	5
-8	13166	5
-7	40779	5
-6	8415	5
-5	8818	5
-4	13253	5
-3	2772	5
-2	3776	5
-1	6346	5
0	2601	5
1	3415	5
2	11729	5
3	2735	5
4	1205	5
5	21449	5
6	898	5
7	2481	5
8	6203	5
9	2613	5
10	3451	5
11	4613	5
12	1685	5
13	3373	5
14	6133	5
15	1518	5
16	4522	5
17	6081	5
18	1810	5
19	3719	5
20	5158	5
21	1863	5
22	3676	5
23	5119	5
24	2147	5
25	4100	5
-20	7527	3
-19	2635	3
-18	4643	3
-17	6470	3
-16	3951	3
-15	19263	3
-14	19231	3
-13	10545	3
-12	2441	3
-11	1666	3
-10	781	3
-9	356	3
-8	277	3
-7	342	3
-6	159	3
-5	126	3
-4	265	3
-3	129	3
-2	128	3
-1	117	3
0	198	3
1	99	3
2	50	3
3	81	3
4	92	3
5	81	3
6	70	3
7	64	3
8	60	3
9	52	3
10	45	3
11	53	3
12	77	3
13	73	3
14	65	3
15	69	3
16	64	3
17	103	3
18	50	3
19	35	3
20	52	3
21	28	3
22	41	3
23	49	3
24	44	3
25	43	3
