Position	Counts	End
-20	4	5
-19	4	5
-18	11	5
-17	53	5
-16	140	5
-15	139	5
-14	135	5
-13	141	5
-12	238	5
-11	484	5
-10	1270	5
-9	2438	5
-8	2015	5
-7	1579	5
-6	205	5
-5	142	5
-4	176	5
-3	200	5
-2	149	5
-1	128	5
0	52	5
1	35	5
2	11	5
3	13	5
4	1	5
5	24	5
6	4	5
7	2	5
8	6	5
9	27	5
10	8	5
11	10	5
12	3	5
13	5	5
14	8	5
15	6	5
16	6	5
17	4	5
18	5	5
19	6	5
20	6	5
21	4	5
22	5	5
23	6	5
24	3	5
25	10	5
-20	7	3
-19	4	3
-18	3	3
-17	6	3
-16	4	3
-15	20	3
-14	15	3
-13	6	3
-12	2	3
-11	2	3
-10	1	3
-9	0	3
-8	2	3
-7	1	3
-6	2	3
-5	0	3
-4	0	3
-3	2	3
-2	1	3
-1	0	3
0	0	3
1	1	3
2	0	3
3	2	3
4	0	3
5	0	3
6	0	3
7	2	3
8	2	3
9	0	3
10	0	3
11	1	3
12	1	3
13	3	3
14	13	3
15	2	3
16	3	3
17	1	3
18	0	3
19	0	3
20	0	3
21	0	3
22	2	3
23	0	3
24	0	3
25	2	3
