Position	Counts	End
-20	97	5
-19	111	5
-18	128	5
-17	94	5
-16	111	5
-15	106	5
-14	91	5
-13	81	5
-12	117	5
-11	72	5
-10	122	5
-9	391	5
-8	2724	5
-7	18659	5
-6	5252	5
-5	3374	5
-4	14178	5
-3	4450	5
-2	2532	5
-1	9705	5
0	3551	5
1	5627	5
2	12961	5
3	3221	5
4	2450	5
5	15288	5
6	3839	5
7	645	5
8	10498	5
9	5113	5
10	4028	5
11	7373	5
12	3284	5
13	2591	5
14	7751	5
15	2542	5
16	2364	5
17	8290	5
18	3535	5
19	2562	5
20	7096	5
21	2979	5
22	2773	5
23	7266	5
24	3101	5
25	2468	5
-20	16097	3
-19	6179	3
-18	5312	3
-17	15608	3
-16	7365	3
-15	27069	3
-14	63332	3
-13	24380	3
-12	3135	3
-11	3570	3
-10	2056	3
-9	1786	3
-8	1986	3
-7	1460	3
-6	1258	3
-5	1277	3
-4	676	3
-3	304	3
-2	231	3
-1	73	3
0	57	3
1	55	3
2	47	3
3	22	3
4	46	3
5	30	3
6	29	3
7	35	3
8	46	3
9	35	3
10	33	3
11	29	3
12	30	3
13	33	3
14	30	3
15	29	3
16	26	3
17	41	3
18	35	3
19	34	3
20	36	3
21	52	3
22	29	3
23	39	3
24	60	3
25	44	3
