Position	Counts	End
-20	495	5
-19	527	5
-18	698	5
-17	588	5
-16	569	5
-15	636	5
-14	509	5
-13	553	5
-12	532	5
-11	433	5
-10	386	5
-9	2756	5
-8	56325	5
-7	75934	5
-6	8660	5
-5	14768	5
-4	21267	5
-3	5085	5
-2	14219	5
-1	18022	5
0	3743	5
1	23134	5
2	23721	5
3	3706	5
4	22497	5
5	41784	5
6	6356	5
7	25078	5
8	27220	5
9	5308	5
10	21085	5
11	27139	5
12	4194	5
13	20035	5
14	30056	5
15	4148	5
16	18933	5
17	29121	5
18	4334	5
19	19610	5
20	28017	5
21	4265	5
22	21424	5
23	30359	5
24	4739	5
25	20417	5
-20	24691	3
-19	3287	3
-18	17178	3
-17	24192	3
-16	2930	3
-15	7095	3
-14	8912	3
-13	1044	3
-12	425	3
-11	371	3
-10	288	3
-9	222	3
-8	220	3
-7	162	3
-6	102	3
-5	113	3
-4	68	3
-3	82	3
-2	95	3
-1	73	3
0	107	3
1	77	3
2	72	3
3	55	3
4	52	3
5	53	3
6	54	3
7	37	3
8	76	3
9	56	3
10	45	3
11	42	3
12	48	3
13	48	3
14	31	3
15	30	3
16	86	3
17	56	3
18	56	3
19	32	3
20	53	3
21	26	3
22	51	3
23	30	3
24	40	3
25	43	3
