Position	Counts	End
-20	4350	5
-19	4166	5
-18	5408	5
-17	3971	5
-16	4053	5
-15	4335	5
-14	3776	5
-13	3782	5
-12	3656	5
-11	2734	5
-10	3018	5
-9	23274	5
-8	422666	5
-7	533619	5
-6	67370	5
-5	106014	5
-4	135565	5
-3	32816	5
-2	90199	5
-1	103733	5
0	22266	5
1	137759	5
2	122570	5
3	22221	5
4	104352	5
5	182627	5
6	33435	5
7	109467	5
8	128869	5
9	29320	5
10	120752	5
11	151057	5
12	26876	5
13	102348	5
14	138347	5
15	24003	5
16	99737	5
17	142824	5
18	24650	5
19	101159	5
20	132241	5
21	24786	5
22	106710	5
23	134971	5
24	25266	5
25	98687	5
-20	49015	3
-19	8334	3
-18	40257	3
-17	53465	3
-16	7763	3
-15	18247	3
-14	23286	3
-13	3458	3
-12	1104	3
-11	966	3
-10	733	3
-9	598	3
-8	530	3
-7	401	3
-6	404	3
-5	310	3
-4	350	3
-3	549	3
-2	368	3
-1	299	3
0	429	3
1	378	3
2	356	3
3	278	3
4	315	3
5	322	3
6	265	3
7	293	3
8	306	3
9	310	3
10	279	3
11	268	3
12	308	3
13	314	3
14	261	3
15	283	3
16	407	3
17	368	3
18	346	3
19	371	3
20	263	3
21	279	3
22	497	3
23	297	3
24	409	3
25	322	3
