Position	Counts	End
-20	528	5
-19	510	5
-18	522	5
-17	488	5
-16	573	5
-15	474	5
-14	423	5
-13	376	5
-12	328	5
-11	330	5
-10	596	5
-9	5125	5
-8	54744	5
-7	80922	5
-6	11468	5
-5	17045	5
-4	23218	5
-3	6130	5
-2	11696	5
-1	13541	5
0	4497	5
1	16994	5
2	15018	5
3	4681	5
4	10487	5
5	18862	5
6	5422	5
7	11405	5
8	14585	5
9	4390	5
10	12172	5
11	14657	5
12	3823	5
13	10859	5
14	16354	5
15	3450	5
16	11291	5
17	16876	5
18	3678	5
19	11544	5
20	15143	5
21	3742	5
22	12564	5
23	16680	5
24	4017	5
25	11916	5
-20	16280	3
-19	3873	3
-18	11932	3
-17	16346	3
-16	4605	3
-15	22123	3
-14	31402	3
-13	5013	3
-12	1650	3
-11	1516	3
-10	1220	3
-9	1021	3
-8	850	3
-7	789	3
-6	608	3
-5	541	3
-4	410	3
-3	450	3
-2	381	3
-1	325	3
0	357	3
1	405	3
2	289	3
3	317	3
4	273	3
5	260	3
6	223	3
7	231	3
8	221	3
9	214	3
10	217	3
11	170	3
12	179	3
13	190	3
14	179	3
15	158	3
16	174	3
17	185	3
18	162	3
19	179	3
20	167	3
21	163	3
22	178	3
23	156	3
24	144	3
25	152	3
