Position	Counts	End
-20	92	5
-19	90	5
-18	74	5
-17	82	5
-16	87	5
-15	79	5
-14	86	5
-13	76	5
-12	98	5
-11	118	5
-10	140	5
-9	419	5
-8	2669	5
-7	3820	5
-6	455	5
-5	905	5
-4	1099	5
-3	332	5
-2	760	5
-1	765	5
0	378	5
1	1171	5
2	727	5
3	388	5
4	625	5
5	1309	5
6	586	5
7	692	5
8	951	5
9	377	5
10	901	5
11	974	5
12	387	5
13	906	5
14	1235	5
15	393	5
16	1120	5
17	1429	5
18	499	5
19	1287	5
20	1672	5
21	549	5
22	1370	5
23	1558	5
24	606	5
25	1463	5
-20	4579	3
-19	1667	3
-18	3940	3
-17	4635	3
-16	1976	3
-15	3745	3
-14	4411	3
-13	1959	3
-12	1919	3
-11	1654	3
-10	1422	3
-9	1220	3
-8	1372	3
-7	1544	3
-6	1505	3
-5	1130	3
-4	1208	3
-3	1182	3
-2	1106	3
-1	1091	3
0	1210	3
1	1581	3
2	1331	3
3	1067	3
4	1263	3
5	1270	3
6	1033	3
7	1093	3
8	1165	3
9	1128	3
10	983	3
11	929	3
12	921	3
13	888	3
14	997	3
15	940	3
16	865	3
17	946	3
18	832	3
19	811	3
20	833	3
21	831	3
22	836	3
23	850	3
24	751	3
25	720	3
