Position	Counts	End
-20	3940	5
-19	4513	5
-18	4024	5
-17	4281	5
-16	4482	5
-15	4076	5
-14	3865	5
-13	4563	5
-12	4300	5
-11	4073	5
-10	4506	5
-9	4149	5
-8	4156	5
-7	5573	5
-6	4704	5
-5	3941	5
-4	4950	5
-3	4488	5
-2	4760	5
-1	5198	5
0	5345	5
1	3777	5
2	6028	5
3	7133	5
4	1979	5
5	9744	5
6	3103	5
7	3617	5
8	4939	5
9	4634	5
10	4441	5
11	4742	5
12	4762	5
13	4526	5
14	5390	5
15	4594	5
16	4736	5
17	5343	5
18	5117	5
19	4649	5
20	5381	5
21	5647	5
22	4516	5
23	5579	5
24	5520	5
25	4670	5
-20	5311	3
-19	5702	3
-18	4456	3
-17	4702	3
-16	6612	3
-15	4898	3
-14	4345	3
-13	4840	3
-12	4611	3
-11	5069	3
-10	4966	3
-9	4571	3
-8	4936	3
-7	4933	3
-6	4825	3
-5	4499	3
-4	4683	3
-3	3073	3
-2	5063	3
-1	5225	3
0	5664	3
1	5333	3
2	4067	3
3	4210	3
4	4698	3
5	4087	3
6	4426	3
7	4461	3
8	4240	3
9	4497	3
10	4321	3
11	4233	3
12	4400	3
13	4376	3
14	4335	3
15	4349	3
16	3898	3
17	4230	3
18	4202	3
19	4181	3
20	4431	3
21	4219	3
22	4529	3
23	3963	3
24	4186	3
25	4038	3
