Position	Counts	End
-20	828	5
-19	753	5
-18	821	5
-17	778	5
-16	848	5
-15	787	5
-14	623	5
-13	707	5
-12	726	5
-11	1051	5
-10	11605	5
-9	77997	5
-8	196779	5
-7	129999	5
-6	26389	5
-5	42311	5
-4	33432	5
-3	14993	5
-2	35029	5
-1	24413	5
0	18486	5
1	37533	5
2	21955	5
3	28534	5
4	17342	5
5	56173	5
6	7624	5
7	13920	5
8	17689	5
9	12274	5
10	24514	5
11	15493	5
12	8805	5
13	23186	5
14	18506	5
15	7531	5
16	20057	5
17	16072	5
18	8315	5
19	17520	5
20	13158	5
21	8545	5
22	18378	5
23	13516	5
24	7518	5
25	16658	5
-20	7567	3
-19	4052	3
-18	8419	3
-17	6425	3
-16	3108	3
-15	6769	3
-14	5652	3
-13	752	3
-12	275	3
-11	284	3
-10	243	3
-9	169	3
-8	220	3
-7	129	3
-6	107	3
-5	118	3
-4	139	3
-3	94	3
-2	100	3
-1	95	3
0	109	3
1	103	3
2	84	3
3	66	3
4	74	3
5	52	3
6	61	3
7	56	3
8	57	3
9	69	3
10	67	3
11	43	3
12	56	3
13	55	3
14	65	3
15	74	3
16	93	3
17	71	3
18	47	3
19	63	3
20	66	3
21	53	3
22	62	3
23	68	3
24	57	3
25	44	3
