Position	Counts	End
-20	1637	5
-19	1424	5
-18	1556	5
-17	1344	5
-16	1362	5
-15	1298	5
-14	1152	5
-13	1264	5
-12	1104	5
-11	1159	5
-10	6919	5
-9	56309	5
-8	172999	5
-7	116628	5
-6	21131	5
-5	39015	5
-4	27759	5
-3	13051	5
-2	37091	5
-1	26496	5
0	18526	5
1	48370	5
2	29297	5
3	28663	5
4	28200	5
5	71320	5
6	12763	5
7	24886	5
8	31266	5
9	17142	5
10	39407	5
11	26390	5
12	11855	5
13	36747	5
14	29107	5
15	11415	5
16	35200	5
17	28741	5
18	11257	5
19	30361	5
20	24331	5
21	12581	5
22	30988	5
23	24402	5
24	10814	5
25	29090	5
-20	7846	3
-19	4546	3
-18	10993	3
-17	9226	3
-16	3286	3
-15	7375	3
-14	6921	3
-13	737	3
-12	211	3
-11	231	3
-10	189	3
-9	138	3
-8	188	3
-7	119	3
-6	102	3
-5	92	3
-4	133	3
-3	83	3
-2	83	3
-1	100	3
0	118	3
1	104	3
2	62	3
3	72	3
4	104	3
5	75	3
6	78	3
7	70	3
8	85	3
9	50	3
10	66	3
11	64	3
12	78	3
13	57	3
14	71	3
15	98	3
16	327	3
17	162	3
18	82	3
19	75	3
20	73	3
21	85	3
22	68	3
23	82	3
24	81	3
25	82	3
