Position	Counts	End
-20	898	5
-19	808	5
-18	817	5
-17	899	5
-16	941	5
-15	895	5
-14	766	5
-13	856	5
-12	805	5
-11	2871	5
-10	31459	5
-9	126332	5
-8	145907	5
-7	79378	5
-6	44071	5
-5	33606	5
-4	22827	5
-3	28171	5
-2	34151	5
-1	22907	5
0	41371	5
1	31820	5
2	19898	5
3	54186	5
4	18181	5
5	56570	5
6	15078	5
7	19445	5
8	18556	5
9	25236	5
10	24945	5
11	13623	5
12	19845	5
13	22939	5
14	15014	5
15	16102	5
16	22022	5
17	13378	5
18	18032	5
19	18086	5
20	11609	5
21	19557	5
22	17764	5
23	11031	5
24	15898	5
25	17942	5
-20	5680	3
-19	9582	3
-18	9465	3
-17	3940	3
-16	5898	3
-15	6087	3
-14	1797	3
-13	531	3
-12	195	3
-11	241	3
-10	208	3
-9	158	3
-8	153	3
-7	161	3
-6	103	3
-5	149	3
-4	112	3
-3	64	3
-2	97	3
-1	145	3
0	141	3
1	84	3
2	57	3
3	77	3
4	87	3
5	88	3
6	79	3
7	86	3
8	57	3
9	65	3
10	57	3
11	69	3
12	63	3
13	49	3
14	79	3
15	98	3
16	88	3
17	85	3
18	80	3
19	40	3
20	59	3
21	64	3
22	63	3
23	54	3
24	64	3
25	51	3
