Position	Counts	End
-20	644	5
-19	667	5
-18	770	5
-17	802	5
-16	930	5
-15	821	5
-14	617	5
-13	677	5
-12	750	5
-11	1786	5
-10	33571	5
-9	203652	5
-8	391212	5
-7	210544	5
-6	42364	5
-5	44293	5
-4	30975	5
-3	20728	5
-2	42139	5
-1	24904	5
0	29058	5
1	38009	5
2	18426	5
3	36017	5
4	17437	5
5	45948	5
6	7019	5
7	10240	5
8	16325	5
9	15262	5
10	23692	5
11	12280	5
12	11657	5
13	21132	5
14	15153	5
15	9880	5
16	21487	5
17	13185	5
18	11120	5
19	19211	5
20	11970	5
21	12499	5
22	19746	5
23	11830	5
24	11461	5
25	19196	5
-20	8619	3
-19	9637	3
-18	14630	3
-17	7673	3
-16	4081	3
-15	6086	3
-14	3056	3
-13	533	3
-12	192	3
-11	189	3
-10	202	3
-9	145	3
-8	157	3
-7	146	3
-6	125	3
-5	125	3
-4	132	3
-3	89	3
-2	118	3
-1	156	3
0	189	3
1	160	3
2	60	3
3	86	3
4	105	3
5	106	3
6	110	3
7	122	3
8	102	3
9	88	3
10	91	3
11	99	3
12	66	3
13	96	3
14	103	3
15	111	3
16	249	3
17	117	3
18	72	3
19	136	3
20	107	3
21	140	3
22	130	3
23	109	3
24	127	3
25	97	3
