Position	Counts	End
-20	1212	5
-19	1234	5
-18	1263	5
-17	1096	5
-16	1393	5
-15	1327	5
-14	1053	5
-13	1114	5
-12	1042	5
-11	2084	5
-10	20954	5
-9	183254	5
-8	338890	5
-7	219782	5
-6	62696	5
-5	71007	5
-4	50349	5
-3	40881	5
-2	77343	5
-1	47251	5
0	63871	5
1	82596	5
2	49236	5
3	68177	5
4	40107	5
5	97831	5
6	23137	5
7	36963	5
8	29765	5
9	30219	5
10	44921	5
11	25052	5
12	23337	5
13	42636	5
14	30259	5
15	19236	5
16	37614	5
17	26550	5
18	20220	5
19	33514	5
20	23308	5
21	22255	5
22	33501	5
23	22963	5
24	18726	5
25	32817	5
-20	12730	3
-19	12035	3
-18	18378	3
-17	10572	3
-16	8865	3
-15	14204	3
-14	5950	3
-13	899	3
-12	275	3
-11	303	3
-10	310	3
-9	215	3
-8	216	3
-7	180	3
-6	188	3
-5	171	3
-4	205	3
-3	131	3
-2	155	3
-1	200	3
0	178	3
1	145	3
2	113	3
3	93	3
4	126	3
5	112	3
6	126	3
7	105	3
8	108	3
9	73	3
10	94	3
11	95	3
12	111	3
13	84	3
14	130	3
15	150	3
16	172	3
17	105	3
18	101	3
19	75	3
20	59	3
21	107	3
22	105	3
23	108	3
24	142	3
25	104	3
