Position	Counts	End
-20	5042	5
-19	5654	5
-18	5102	5
-17	5578	5
-16	5558	5
-15	5302	5
-14	4899	5
-13	6096	5
-12	5310	5
-11	5178	5
-10	5761	5
-9	5260	5
-8	5386	5
-7	6936	5
-6	5995	5
-5	4792	5
-4	6351	5
-3	5833	5
-2	5714	5
-1	6421	5
0	6521	5
1	4877	5
2	7448	5
3	8563	5
4	2512	5
5	12789	5
6	3290	5
7	3911	5
8	5871	5
9	5751	5
10	5005	5
11	5749	5
12	5726	5
13	5574	5
14	6291	5
15	5566	5
16	5887	5
17	6753	5
18	6189	5
19	5463	5
20	6389	5
21	6808	5
22	5415	5
23	6696	5
24	6613	5
25	5795	5
-20	7357	3
-19	8014	3
-18	6347	3
-17	6721	3
-16	9266	3
-15	6890	3
-14	6129	3
-13	7283	3
-12	6424	3
-11	7440	3
-10	7143	3
-9	6586	3
-8	6886	3
-7	7386	3
-6	6823	3
-5	6566	3
-4	7036	3
-3	4447	3
-2	7656	3
-1	7618	3
0	8171	3
1	8213	3
2	5999	3
3	5962	3
4	6722	3
5	5925	3
6	6566	3
7	6457	3
8	6335	3
9	6513	3
10	6167	3
11	6163	3
12	6525	3
13	6315	3
14	6332	3
15	6116	3
16	5560	3
17	6204	3
18	6023	3
19	5895	3
20	6372	3
21	5858	3
22	6165	3
23	5542	3
24	5769	3
25	5835	3
