Position	Counts	End
-20	788	5
-19	782	5
-18	965	5
-17	899	5
-16	1097	5
-15	1105	5
-14	920	5
-13	979	5
-12	884	5
-11	1387	5
-10	19519	5
-9	155456	5
-8	393351	5
-7	213700	5
-6	32744	5
-5	53962	5
-4	33035	5
-3	18619	5
-2	48265	5
-1	28875	5
0	26494	5
1	56922	5
2	25547	5
3	37872	5
4	23511	5
5	61119	5
6	11119	5
7	24048	5
8	23494	5
9	18218	5
10	34956	5
11	20097	5
12	12257	5
13	31581	5
14	21920	5
15	10690	5
16	29525	5
17	20897	5
18	10972	5
19	26322	5
20	16659	5
21	12397	5
22	27806	5
23	17914	5
24	11182	5
25	25963	5
-20	10476	3
-19	7609	3
-18	16810	3
-17	10651	3
-16	5930	3
-15	12236	3
-14	8503	3
-13	854	3
-12	249	3
-11	234	3
-10	268	3
-9	186	3
-8	211	3
-7	174	3
-6	179	3
-5	144	3
-4	172	3
-3	124	3
-2	138	3
-1	141	3
0	168	3
1	139	3
2	80	3
3	110	3
4	101	3
5	99	3
6	112	3
7	98	3
8	66	3
9	99	3
10	77	3
11	66	3
12	73	3
13	65	3
14	80	3
15	104	3
16	127	3
17	89	3
18	72	3
19	81	3
20	68	3
21	69	3
22	82	3
23	72	3
24	79	3
25	53	3
