Position	Counts	End
-20	751	5
-19	615	5
-18	606	5
-17	676	5
-16	686	5
-15	716	5
-14	611	5
-13	711	5
-12	731	5
-11	2846	5
-10	28355	5
-9	112922	5
-8	124287	5
-7	70008	5
-6	32001	5
-5	23567	5
-4	16255	5
-3	20364	5
-2	22803	5
-1	16109	5
0	27594	5
1	19595	5
2	13371	5
3	41509	5
4	12623	5
5	40342	5
6	9301	5
7	12957	5
8	13461	5
9	19229	5
10	18151	5
11	9951	5
12	14994	5
13	17594	5
14	11782	5
15	12353	5
16	16466	5
17	9648	5
18	13516	5
19	13567	5
20	8783	5
21	15334	5
22	13700	5
23	8238	5
24	12239	5
25	13591	5
-20	4203	3
-19	7456	3
-18	7132	3
-17	2922	3
-16	3154	3
-15	3058	3
-14	987	3
-13	299	3
-12	126	3
-11	134	3
-10	149	3
-9	113	3
-8	111	3
-7	88	3
-6	85	3
-5	110	3
-4	94	3
-3	48	3
-2	79	3
-1	92	3
0	102	3
1	55	3
2	56	3
3	50	3
4	53	3
5	62	3
6	55	3
7	65	3
8	48	3
9	38	3
10	43	3
11	43	3
12	61	3
13	46	3
14	69	3
15	98	3
16	93	3
17	51	3
18	56	3
19	40	3
20	53	3
21	72	3
22	48	3
23	49	3
24	57	3
25	46	3
