Position	Counts	End
-20	3435	5
-19	4048	5
-18	3783	5
-17	4045	5
-16	4007	5
-15	3905	5
-14	3868	5
-13	4131	5
-12	4013	5
-11	4274	5
-10	4154	5
-9	4300	5
-8	4298	5
-7	5152	5
-6	4798	5
-5	4400	5
-4	5232	5
-3	5291	5
-2	4860	5
-1	5261	5
0	5225	5
1	5475	5
2	6359	5
3	6774	5
4	5514	5
5	8594	5
6	6828	5
7	2234	5
8	3383	5
9	4012	5
10	5373	5
11	5677	5
12	5135	5
13	5116	5
14	6011	5
15	5466	5
16	6260	5
17	5789	5
18	5931	5
19	6265	5
20	6127	5
21	6524	5
22	6598	5
23	6287	5
24	6580	5
25	6464	5
-20	7492	3
-19	8018	3
-18	7471	3
-17	7330	3
-16	8203	3
-15	7745	3
-14	7114	3
-13	7030	3
-12	7069	3
-11	7502	3
-10	6738	3
-9	7055	3
-8	6604	3
-7	6775	3
-6	6274	3
-5	6615	3
-4	6396	3
-3	5309	3
-2	6669	3
-1	6769	3
0	7086	3
1	7689	3
2	7027	3
3	5142	3
4	5901	3
5	6478	3
6	6372	3
7	5959	3
8	5907	3
9	5769	3
10	5709	3
11	5856	3
12	5824	3
13	5709	3
14	5810	3
15	5815	3
16	5658	3
17	5914	3
18	5652	3
19	5766	3
20	5819	3
21	5706	3
22	5546	3
23	5436	3
24	5724	3
25	5500	3
