Position	Counts	End
-20	353	5
-19	345	5
-18	397	5
-17	380	5
-16	428	5
-15	440	5
-14	330	5
-13	372	5
-12	439	5
-11	404	5
-10	349	5
-9	2287	5
-8	26511	5
-7	22885	5
-6	4221	5
-5	8811	5
-4	11534	5
-3	5553	5
-2	7887	5
-1	6154	5
0	3545	5
1	10281	5
2	7963	5
3	2589	5
4	8447	5
5	12387	5
6	2874	5
7	6450	5
8	5133	5
9	2008	5
10	8650	5
11	7619	5
12	2670	5
13	6772	5
14	7534	5
15	2773	5
16	7350	5
17	7446	5
18	2503	5
19	6489	5
20	6963	5
21	2566	5
22	6322	5
23	6647	5
24	2184	5
25	6733	5
-20	2599	3
-19	1001	3
-18	2812	3
-17	3183	3
-16	936	3
-15	2055	3
-14	2030	3
-13	591	3
-12	544	3
-11	660	3
-10	341	3
-9	407	3
-8	314	3
-7	249	3
-6	239	3
-5	196	3
-4	84	3
-3	135	3
-2	204	3
-1	40	3
0	57	3
1	34	3
2	52	3
3	17	3
4	25	3
5	34	3
6	59	3
7	48	3
8	30	3
9	31	3
10	23	3
11	7	3
12	32	3
13	18	3
14	13	3
15	37	3
16	79	3
17	22	3
18	21	3
19	50	3
20	21	3
21	17	3
22	26	3
23	19	3
24	17	3
25	35	3
