Position	Counts	End
-20	2161	5
-19	2231	5
-18	2210	5
-17	1933	5
-16	2022	5
-15	2039	5
-14	1689	5
-13	2016	5
-12	1842	5
-11	1740	5
-10	3002	5
-9	12655	5
-8	33050	5
-7	19504	5
-6	9175	5
-5	17099	5
-4	14635	5
-3	12372	5
-2	18561	5
-1	13325	5
0	12491	5
1	24506	5
2	15891	5
3	12804	5
4	25835	5
5	27946	5
6	14687	5
7	9736	5
8	8451	5
9	6952	5
10	20055	5
11	13161	5
12	8742	5
13	16657	5
14	14058	5
15	9016	5
16	19748	5
17	13450	5
18	9445	5
19	19823	5
20	13345	5
21	9545	5
22	20754	5
23	14073	5
24	10033	5
25	20315	5
-20	4024	3
-19	2691	3
-18	5929	3
-17	3993	3
-16	2068	3
-15	3754	3
-14	2442	3
-13	1045	3
-12	813	3
-11	1234	3
-10	618	3
-9	625	3
-8	763	3
-7	432	3
-6	331	3
-5	411	3
-4	256	3
-3	207	3
-2	271	3
-1	188	3
0	149	3
1	151	3
2	178	3
3	95	3
4	143	3
5	125	3
6	103	3
7	141	3
8	156	3
9	128	3
10	124	3
11	151	3
12	122	3
13	166	3
14	157	3
15	148	3
16	199	3
17	177	3
18	159	3
19	182	3
20	183	3
21	163	3
22	170	3
23	160	3
24	155	3
25	203	3
