Position	Counts	End
-20	2584	5
-19	2816	5
-18	2632	5
-17	2749	5
-16	2843	5
-15	3017	5
-14	3028	5
-13	2961	5
-12	3052	5
-11	3140	5
-10	3109	5
-9	3252	5
-8	3181	5
-7	3244	5
-6	3286	5
-5	3297	5
-4	3392	5
-3	3292	5
-2	3344	5
-1	3363	5
0	3284	5
1	3239	5
2	3441	5
3	3144	5
4	3527	5
5	3545	5
6	3437	5
7	4623	5
8	3036	5
9	3092	5
10	3333	5
11	3800	5
12	3288	5
13	3336	5
14	3670	5
15	3314	5
16	3507	5
17	3810	5
18	3468	5
19	3621	5
20	3846	5
21	3417	5
22	3649	5
23	3799	5
24	3580	5
25	3701	5
-20	4262	3
-19	3691	3
-18	3705	3
-17	4242	3
-16	3789	3
-15	3536	3
-14	4005	3
-13	3366	3
-12	3433	3
-11	3946	3
-10	3310	3
-9	3502	3
-8	3798	3
-7	3261	3
-6	3369	3
-5	3562	3
-4	3196	3
-3	3128	3
-2	3341	3
-1	2814	3
0	3146	3
1	2964	3
2	3889	3
3	2777	3
4	3350	3
5	2587	3
6	2941	3
7	2795	3
8	2709	3
9	2767	3
10	2611	3
11	2773	3
12	2542	3
13	2598	3
14	2525	3
15	2591	3
16	2517	3
17	2578	3
18	2526	3
19	2438	3
20	2415	3
21	2545	3
22	2453	3
23	2565	3
24	2494	3
25	2513	3
