"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-20	3607	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-19	3066	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-18	2940	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-17	3250	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-16	3386	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-15	3655	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-14	3555	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-13	3327	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-12	3394	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-11	3393	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-10	3003	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-9	3360	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-8	3228	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-7	3250	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-6	3454	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-5	2877	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-4	2958	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-3	3100	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-2	3201	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-1	3152	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	0	3205	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	1	4112	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	2	3888	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	3	3233	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	4	3438	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	5	3615	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	6	4576	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	7	2910	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	8	3779	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	9	2645	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	10	3565	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	11	3446	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	12	2955	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	13	3290	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	14	3428	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	15	3020	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	16	3162	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	17	3499	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	18	3264	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	19	3182	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	20	3678	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	21	3395	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	22	3898	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	23	3424	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	24	2935	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	25	4122	5
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-20	4272	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-19	4241	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-18	4129	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-17	4281	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-16	3941	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-15	4249	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-14	3976	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-13	3673	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-12	3986	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-11	4038	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-10	4068	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-9	4017	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-8	4195	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-7	4063	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-6	4143	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-5	4118	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-4	3835	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-3	3649	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-2	4148	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	-1	4277	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	0	3760	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	1	4301	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	2	6499	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	3	4036	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	4	4087	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	5	4197	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	6	4326	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	7	3971	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	8	4300	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	9	4083	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	10	4223	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	11	4215	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	12	4337	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	13	4231	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	14	4227	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	15	4123	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	16	4044	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	17	3941	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	18	4373	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	19	4661	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	20	4146	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	21	4202	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	22	4296	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	23	4376	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	24	4308	3
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"	25	4344	3
