"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-20	550	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-19	567	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-18	688	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-17	661	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-16	674	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-15	802	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-14	837	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-13	633	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-12	832	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-11	739	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-10	787	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-9	790	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-8	914	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-7	694	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-6	940	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-5	814	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-4	900	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-3	1033	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-2	968	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-1	890	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	0	836	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	1	1148	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	2	1253	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	3	874	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	4	1409	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	5	1148	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	6	1590	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	7	689	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	8	847	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	9	782	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	10	1062	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	11	1050	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	12	882	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	13	1015	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	14	1083	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	15	828	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	16	976	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	17	1043	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	18	1040	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	19	1040	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	20	1139	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	21	986	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	22	1101	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	23	1085	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	24	958	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	25	1131	5
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-20	1009	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-19	860	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-18	900	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-17	888	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-16	858	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-15	995	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-14	897	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-13	868	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-12	780	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-11	906	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-10	803	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-9	769	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-8	793	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-7	809	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-6	817	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-5	1009	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-4	750	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-3	783	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-2	849	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	-1	692	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	0	816	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	1	998	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	2	2141	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	3	785	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	4	813	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	5	870	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	6	871	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	7	1000	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	8	917	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	9	806	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	10	805	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	11	925	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	12	865	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	13	884	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	14	870	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	15	786	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	16	797	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	17	856	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	18	899	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	19	835	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	20	875	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	21	747	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	22	849	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	23	826	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	24	837	3
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"	25	804	3
