"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-20	133	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-19	139	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-18	170	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-17	120	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-16	142	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-15	2465	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-14	492	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-13	125	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-12	137	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-11	119	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-10	289	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-9	3117	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-8	15144	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-7	101958	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-6	19277	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-5	5898	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-4	18057	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-3	5576	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-2	3250	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-1	8153	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	0	2978	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	1	3563	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	2	6859	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	3	1297	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	4	2052	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	5	3852	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	6	1264	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	7	377	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	8	2369	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	9	1063	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	10	748	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	11	1865	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	12	759	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	13	519	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	14	2044	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	15	1259	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	16	709	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	17	1765	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	18	813	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	19	654	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	20	2266	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	21	921	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	22	475	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	23	1733	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	24	886	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	25	626	5
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-20	1224	3
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-19	329	3
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-18	393	3
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-17	1735	3
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	-16	551	3
