"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-20	326	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-19	267	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-18	276	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-17	287	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-16	335	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-15	621	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-14	389	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-13	288	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-12	280	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-11	267	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-10	281	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-9	945	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-8	8843	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-7	78330	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-6	18477	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-5	7100	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-4	26738	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-3	7929	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-2	5031	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-1	22810	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	0	7129	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	1	9351	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	2	29786	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	3	5176	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	4	7607	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	5	20873	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	6	5690	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	7	1317	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	8	12603	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	9	3733	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	10	2709	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	11	9930	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	12	2768	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	13	1932	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	14	7734	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	15	2226	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	16	1534	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	17	6948	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	18	1966	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	19	1397	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	20	6048	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	21	1607	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	22	1339	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	23	5184	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	24	1516	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	25	1499	5
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-20	3909	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-19	888	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-18	796	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-17	4147	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-16	882	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-15	1001	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-14	3770	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-13	1109	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-12	225	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-11	170	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-10	115	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-9	113	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-8	117	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-7	85	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-6	114	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-5	63	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-4	59	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-3	60	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-2	75	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	-1	52	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	0	41	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	1	43	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	2	84	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	3	66	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	4	55	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	5	37	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	6	53	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	7	49	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	8	33	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	9	30	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	10	58	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	11	100	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	12	88	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	13	37	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	14	51	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	15	47	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	16	54	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	17	71	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	18	57	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	19	74	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	20	26	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	21	56	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	22	125	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	23	49	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	24	37	3
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"	25	54	3
