"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-20	418	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-19	432	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-18	471	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-17	374	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-16	401	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-15	31129	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-14	5899	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-13	327	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-12	346	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-11	270	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-10	439	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-9	2644	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-8	15775	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-7	91337	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-6	13755	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-5	5014	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-4	16635	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-3	4167	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-2	3611	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-1	12754	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	0	4691	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	1	7611	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	2	18649	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	3	2473	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	4	5337	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	5	15407	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	6	3190	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	7	1861	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	8	8827	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	9	2281	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	10	2318	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	11	7733	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	12	1952	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	13	1714	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	14	6308	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	15	1946	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	16	1917	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	17	6623	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	18	1745	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	19	1574	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	20	6276	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	21	1782	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	22	1419	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	23	5177	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	24	1696	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	25	1739	5
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-20	2330	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-19	495	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-18	662	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-17	3360	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-16	647	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-15	3343	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-14	12292	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-13	2432	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-12	638	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-11	475	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-10	247	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-9	313	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-8	124	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-7	94	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-6	178	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-5	137	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-4	102	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-3	128	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-2	80	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	-1	70	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	0	43	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	1	110	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	2	519	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	3	306	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	4	489	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	5	351	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	6	296	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	7	303	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	8	157	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	9	73	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	10	42	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	11	5037	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	12	797	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	13	55	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	14	102	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	15	120	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	16	106	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	17	128	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	18	168	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	19	238	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	20	124	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	21	47	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	22	89	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	23	77	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	24	59	3
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"	25	287	3
