"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2012	"Brar"	"rpf_B_tp_traditional_tc"	-20	540	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-19	581	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-18	535	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-17	486	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-16	422	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-15	22764	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-14	2898	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-13	568	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-12	484	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-11	498	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-10	815	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-9	7037	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-8	43156	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-7	65700	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-6	9318	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-5	7798	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-4	11979	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-3	3477	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-2	6155	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	-1	8486	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	0	2840	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	1	9348	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	2	9250	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	3	1927	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	4	6097	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	5	8910	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	6	3164	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	7	2922	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	8	5857	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	9	1498	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	10	3848	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	11	5117	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	12	1456	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	13	3045	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	14	4800	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	15	1241	5
2012	"Brar"	"rpf_B_tp_traditional_tc"	16	3053	5
