"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2013	"Zinshteyn"	"WT_mRNA_1"	-20	2079	5
2013	"Zinshteyn"	"WT_mRNA_1"	-19	2496	5
2013	"Zinshteyn"	"WT_mRNA_1"	-18	2888	5
2013	"Zinshteyn"	"WT_mRNA_1"	-17	3166	5
2013	"Zinshteyn"	"WT_mRNA_1"	-16	4176	5
2013	"Zinshteyn"	"WT_mRNA_1"	-15	3455	5
2013	"Zinshteyn"	"WT_mRNA_1"	-14	3365	5
2013	"Zinshteyn"	"WT_mRNA_1"	-13	3469	5
2013	"Zinshteyn"	"WT_mRNA_1"	-12	3394	5
2013	"Zinshteyn"	"WT_mRNA_1"	-11	3589	5
2013	"Zinshteyn"	"WT_mRNA_1"	-10	3226	5
2013	"Zinshteyn"	"WT_mRNA_1"	-9	3168	5
2013	"Zinshteyn"	"WT_mRNA_1"	-8	3213	5
2013	"Zinshteyn"	"WT_mRNA_1"	-7	3585	5
2013	"Zinshteyn"	"WT_mRNA_1"	-6	3445	5
2013	"Zinshteyn"	"WT_mRNA_1"	-5	3371	5
2013	"Zinshteyn"	"WT_mRNA_1"	-4	3267	5
2013	"Zinshteyn"	"WT_mRNA_1"	-3	3469	5
2013	"Zinshteyn"	"WT_mRNA_1"	-2	3086	5
2013	"Zinshteyn"	"WT_mRNA_1"	-1	3249	5
2013	"Zinshteyn"	"WT_mRNA_1"	0	2966	5
2013	"Zinshteyn"	"WT_mRNA_1"	1	3244	5
2013	"Zinshteyn"	"WT_mRNA_1"	2	3315	5
2013	"Zinshteyn"	"WT_mRNA_1"	3	3626	5
2013	"Zinshteyn"	"WT_mRNA_1"	4	2998	5
2013	"Zinshteyn"	"WT_mRNA_1"	5	3482	5
2013	"Zinshteyn"	"WT_mRNA_1"	6	5355	5
2013	"Zinshteyn"	"WT_mRNA_1"	7	3141	5
2013	"Zinshteyn"	"WT_mRNA_1"	8	2420	5
2013	"Zinshteyn"	"WT_mRNA_1"	9	2775	5
2013	"Zinshteyn"	"WT_mRNA_1"	10	3646	5
2013	"Zinshteyn"	"WT_mRNA_1"	11	3457	5
2013	"Zinshteyn"	"WT_mRNA_1"	12	3698	5
2013	"Zinshteyn"	"WT_mRNA_1"	13	3619	5
2013	"Zinshteyn"	"WT_mRNA_1"	14	3866	5
2013	"Zinshteyn"	"WT_mRNA_1"	15	3405	5
2013	"Zinshteyn"	"WT_mRNA_1"	16	3558	5
2013	"Zinshteyn"	"WT_mRNA_1"	17	3592	5
2013	"Zinshteyn"	"WT_mRNA_1"	18	3566	5
2013	"Zinshteyn"	"WT_mRNA_1"	19	3702	5
2013	"Zinshteyn"	"WT_mRNA_1"	20	3635	5
2013	"Zinshteyn"	"WT_mRNA_1"	21	3454	5
2013	"Zinshteyn"	"WT_mRNA_1"	22	3983	5
2013	"Zinshteyn"	"WT_mRNA_1"	23	3635	5
2013	"Zinshteyn"	"WT_mRNA_1"	24	3695	5
2013	"Zinshteyn"	"WT_mRNA_1"	25	3861	5
2013	"Zinshteyn"	"WT_mRNA_1"	-20	7303	3
2013	"Zinshteyn"	"WT_mRNA_1"	-19	7333	3
2013	"Zinshteyn"	"WT_mRNA_1"	-18	7486	3
2013	"Zinshteyn"	"WT_mRNA_1"	-17	7049	3
2013	"Zinshteyn"	"WT_mRNA_1"	-16	7339	3
2013	"Zinshteyn"	"WT_mRNA_1"	-15	8149	3
2013	"Zinshteyn"	"WT_mRNA_1"	-14	7503	3
2013	"Zinshteyn"	"WT_mRNA_1"	-13	6636	3
2013	"Zinshteyn"	"WT_mRNA_1"	-12	6968	3
2013	"Zinshteyn"	"WT_mRNA_1"	-11	7243	3
2013	"Zinshteyn"	"WT_mRNA_1"	-10	6739	3
2013	"Zinshteyn"	"WT_mRNA_1"	-9	7248	3
2013	"Zinshteyn"	"WT_mRNA_1"	-8	6986	3
2013	"Zinshteyn"	"WT_mRNA_1"	-7	6678	3
2013	"Zinshteyn"	"WT_mRNA_1"	-6	7165	3
2013	"Zinshteyn"	"WT_mRNA_1"	-5	7117	3
2013	"Zinshteyn"	"WT_mRNA_1"	-4	6790	3
2013	"Zinshteyn"	"WT_mRNA_1"	-3	7092	3
2013	"Zinshteyn"	"WT_mRNA_1"	-2	6836	3
2013	"Zinshteyn"	"WT_mRNA_1"	-1	6376	3
2013	"Zinshteyn"	"WT_mRNA_1"	0	7189	3
2013	"Zinshteyn"	"WT_mRNA_1"	1	7797	3
2013	"Zinshteyn"	"WT_mRNA_1"	2	7905	3
2013	"Zinshteyn"	"WT_mRNA_1"	3	7482	3
2013	"Zinshteyn"	"WT_mRNA_1"	4	7862	3
2013	"Zinshteyn"	"WT_mRNA_1"	5	6948	3
2013	"Zinshteyn"	"WT_mRNA_1"	6	7095	3
2013	"Zinshteyn"	"WT_mRNA_1"	7	7274	3
2013	"Zinshteyn"	"WT_mRNA_1"	8	7064	3
2013	"Zinshteyn"	"WT_mRNA_1"	9	6890	3
2013	"Zinshteyn"	"WT_mRNA_1"	10	6878	3
2013	"Zinshteyn"	"WT_mRNA_1"	11	6806	3
2013	"Zinshteyn"	"WT_mRNA_1"	12	6940	3
2013	"Zinshteyn"	"WT_mRNA_1"	13	7181	3
2013	"Zinshteyn"	"WT_mRNA_1"	14	7140	3
2013	"Zinshteyn"	"WT_mRNA_1"	15	7174	3
2013	"Zinshteyn"	"WT_mRNA_1"	16	6911	3
2013	"Zinshteyn"	"WT_mRNA_1"	17	7244	3
2013	"Zinshteyn"	"WT_mRNA_1"	18	7150	3
2013	"Zinshteyn"	"WT_mRNA_1"	19	7304	3
2013	"Zinshteyn"	"WT_mRNA_1"	20	7248	3
2013	"Zinshteyn"	"WT_mRNA_1"	21	7277	3
2013	"Zinshteyn"	"WT_mRNA_1"	22	7412	3
2013	"Zinshteyn"	"WT_mRNA_1"	23	7356	3
2013	"Zinshteyn"	"WT_mRNA_1"	24	7367	3
2013	"Zinshteyn"	"WT_mRNA_1"	25	7671	3
