"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-20	7073	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-19	8605	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-18	10193	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-17	11730	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-16	13876	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-15	11741	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-14	12770	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-13	12591	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-12	12612	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-11	14185	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-10	13612	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-9	13677	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-8	13125	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-7	14112	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-6	13276	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-5	13263	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-4	13059	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-3	13087	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-2	12198	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-1	12465	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	0	11632	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	1	11992	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	2	12412	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	3	15051	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	4	10454	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	5	12584	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	6	16124	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	7	7651	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	8	8712	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	9	10254	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	10	12865	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	11	12160	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	12	11914	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	13	12496	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	14	13759	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	15	12003	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	16	13613	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	17	12231	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	18	12066	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	19	13289	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	20	11201	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	21	11643	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	22	12186	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	23	10583	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	24	11022	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	25	11378	5
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-20	14754	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-19	15237	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-18	15216	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-17	13238	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-16	14804	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-15	16179	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-14	13585	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-13	13492	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-12	13777	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-11	12337	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-10	13278	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-9	15040	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-8	13478	3
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"	-7	13485	3
