"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-20	5711	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-19	6961	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-18	7849	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-17	8851	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-16	10327	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-15	8800	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-14	9367	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-13	8931	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-12	8875	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-11	9832	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-10	9405	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-9	9735	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-8	9555	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-7	9686	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-6	9563	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-5	9313	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-4	9272	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-3	9049	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-2	8683	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-1	8653	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	0	8038	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	1	8538	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	2	8736	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	3	10188	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	4	7079	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	5	8729	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	6	10627	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	7	4657	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	8	5511	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	9	6754	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	10	8754	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	11	8024	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	12	7831	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	13	8362	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	14	8722	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	15	7853	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	16	8719	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	17	8043	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	18	8018	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	19	8368	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	20	7612	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	21	7869	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	22	7894	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	23	7030	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	24	7670	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	25	7398	5
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-20	9485	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-19	10037	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-18	9929	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-17	8752	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-16	9898	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-15	10752	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-14	8814	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-13	8916	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-12	9154	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-11	8537	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-10	9036	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-9	9954	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-8	9224	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-7	9147	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-6	9615	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-5	9227	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-4	9322	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-3	9460	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-2	9570	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	-1	9578	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	0	10328	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	1	11352	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	2	10232	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	3	10923	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	4	11150	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	5	10451	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	6	10230	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	7	10778	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	8	10632	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	9	9936	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	10	10571	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	11	10141	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	12	11209	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	13	11434	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	14	11721	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	15	11972	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	16	11505	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	17	11625	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	18	11633	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	19	11679	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	20	11532	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	21	11837	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	22	11882	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	23	12142	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	24	12355	3
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"	25	12876	3
