"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2013	"Zinshteyn"	"Δncs2_rpf"	-20	726	5
2013	"Zinshteyn"	"Δncs2_rpf"	-19	611	5
2013	"Zinshteyn"	"Δncs2_rpf"	-18	657	5
2013	"Zinshteyn"	"Δncs2_rpf"	-17	658	5
2013	"Zinshteyn"	"Δncs2_rpf"	-16	674	5
2013	"Zinshteyn"	"Δncs2_rpf"	-15	906	5
2013	"Zinshteyn"	"Δncs2_rpf"	-14	681	5
2013	"Zinshteyn"	"Δncs2_rpf"	-13	670	5
2013	"Zinshteyn"	"Δncs2_rpf"	-12	595	5
2013	"Zinshteyn"	"Δncs2_rpf"	-11	752	5
2013	"Zinshteyn"	"Δncs2_rpf"	-10	1400	5
2013	"Zinshteyn"	"Δncs2_rpf"	-9	8129	5
2013	"Zinshteyn"	"Δncs2_rpf"	-8	68305	5
2013	"Zinshteyn"	"Δncs2_rpf"	-7	73557	5
2013	"Zinshteyn"	"Δncs2_rpf"	-6	7100	5
2013	"Zinshteyn"	"Δncs2_rpf"	-5	9439	5
2013	"Zinshteyn"	"Δncs2_rpf"	-4	9278	5
2013	"Zinshteyn"	"Δncs2_rpf"	-3	2755	5
2013	"Zinshteyn"	"Δncs2_rpf"	-2	6739	5
2013	"Zinshteyn"	"Δncs2_rpf"	-1	6950	5
2013	"Zinshteyn"	"Δncs2_rpf"	0	2617	5
2013	"Zinshteyn"	"Δncs2_rpf"	1	12086	5
2013	"Zinshteyn"	"Δncs2_rpf"	2	7137	5
2013	"Zinshteyn"	"Δncs2_rpf"	3	2612	5
2013	"Zinshteyn"	"Δncs2_rpf"	4	6794	5
2013	"Zinshteyn"	"Δncs2_rpf"	5	10843	5
2013	"Zinshteyn"	"Δncs2_rpf"	6	4367	5
2013	"Zinshteyn"	"Δncs2_rpf"	7	8641	5
2013	"Zinshteyn"	"Δncs2_rpf"	8	8095	5
2013	"Zinshteyn"	"Δncs2_rpf"	9	2176	5
2013	"Zinshteyn"	"Δncs2_rpf"	10	10547	5
2013	"Zinshteyn"	"Δncs2_rpf"	11	9585	5
2013	"Zinshteyn"	"Δncs2_rpf"	12	3013	5
2013	"Zinshteyn"	"Δncs2_rpf"	13	9510	5
2013	"Zinshteyn"	"Δncs2_rpf"	14	11382	5
2013	"Zinshteyn"	"Δncs2_rpf"	15	2630	5
2013	"Zinshteyn"	"Δncs2_rpf"	16	9873	5
2013	"Zinshteyn"	"Δncs2_rpf"	17	12038	5
2013	"Zinshteyn"	"Δncs2_rpf"	18	2231	5
2013	"Zinshteyn"	"Δncs2_rpf"	19	10229	5
2013	"Zinshteyn"	"Δncs2_rpf"	20	10407	5
2013	"Zinshteyn"	"Δncs2_rpf"	21	2587	5
2013	"Zinshteyn"	"Δncs2_rpf"	22	10703	5
2013	"Zinshteyn"	"Δncs2_rpf"	23	11036	5
2013	"Zinshteyn"	"Δncs2_rpf"	24	2935	5
2013	"Zinshteyn"	"Δncs2_rpf"	25	11008	5
2013	"Zinshteyn"	"Δncs2_rpf"	-20	7310	3
2013	"Zinshteyn"	"Δncs2_rpf"	-19	1418	3
2013	"Zinshteyn"	"Δncs2_rpf"	-18	6429	3
2013	"Zinshteyn"	"Δncs2_rpf"	-17	8118	3
2013	"Zinshteyn"	"Δncs2_rpf"	-16	5034	3
2013	"Zinshteyn"	"Δncs2_rpf"	-15	27494	3
2013	"Zinshteyn"	"Δncs2_rpf"	-14	27448	3
2013	"Zinshteyn"	"Δncs2_rpf"	-13	1942	3
2013	"Zinshteyn"	"Δncs2_rpf"	-12	903	3
2013	"Zinshteyn"	"Δncs2_rpf"	-11	879	3
2013	"Zinshteyn"	"Δncs2_rpf"	-10	532	3
2013	"Zinshteyn"	"Δncs2_rpf"	-9	461	3
2013	"Zinshteyn"	"Δncs2_rpf"	-8	353	3
2013	"Zinshteyn"	"Δncs2_rpf"	-7	296	3
2013	"Zinshteyn"	"Δncs2_rpf"	-6	312	3
2013	"Zinshteyn"	"Δncs2_rpf"	-5	255	3
2013	"Zinshteyn"	"Δncs2_rpf"	-4	239	3
2013	"Zinshteyn"	"Δncs2_rpf"	-3	300	3
2013	"Zinshteyn"	"Δncs2_rpf"	-2	222	3
2013	"Zinshteyn"	"Δncs2_rpf"	-1	146	3
2013	"Zinshteyn"	"Δncs2_rpf"	0	141	3
2013	"Zinshteyn"	"Δncs2_rpf"	1	123	3
2013	"Zinshteyn"	"Δncs2_rpf"	2	112	3
2013	"Zinshteyn"	"Δncs2_rpf"	3	129	3
2013	"Zinshteyn"	"Δncs2_rpf"	4	124	3
2013	"Zinshteyn"	"Δncs2_rpf"	5	126	3
2013	"Zinshteyn"	"Δncs2_rpf"	6	106	3
2013	"Zinshteyn"	"Δncs2_rpf"	7	115	3
2013	"Zinshteyn"	"Δncs2_rpf"	8	107	3
2013	"Zinshteyn"	"Δncs2_rpf"	9	89	3
2013	"Zinshteyn"	"Δncs2_rpf"	10	67	3
2013	"Zinshteyn"	"Δncs2_rpf"	11	101	3
2013	"Zinshteyn"	"Δncs2_rpf"	12	97	3
2013	"Zinshteyn"	"Δncs2_rpf"	13	90	3
2013	"Zinshteyn"	"Δncs2_rpf"	14	94	3
2013	"Zinshteyn"	"Δncs2_rpf"	15	85	3
2013	"Zinshteyn"	"Δncs2_rpf"	16	106	3
2013	"Zinshteyn"	"Δncs2_rpf"	17	86	3
2013	"Zinshteyn"	"Δncs2_rpf"	18	56	3
2013	"Zinshteyn"	"Δncs2_rpf"	19	158	3
2013	"Zinshteyn"	"Δncs2_rpf"	20	77	3
2013	"Zinshteyn"	"Δncs2_rpf"	21	78	3
2013	"Zinshteyn"	"Δncs2_rpf"	22	199	3
2013	"Zinshteyn"	"Δncs2_rpf"	23	67	3
2013	"Zinshteyn"	"Δncs2_rpf"	24	81	3
2013	"Zinshteyn"	"Δncs2_rpf"	25	76	3
