"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-20	8343	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-19	10662	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-18	11567	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-17	13031	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-16	16241	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-15	12618	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-14	13118	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-13	13050	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-12	13067	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-11	14506	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-10	13460	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-9	14033	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-8	13127	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-7	14162	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-6	13676	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-5	13309	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-4	13172	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-3	13105	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-2	12527	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-1	12276	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	0	11796	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	1	12695	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	2	12990	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	3	15426	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	4	10602	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	5	13089	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	6	15452	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	7	7222	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	8	8112	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	9	10571	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	10	12983	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	11	12313	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	12	12233	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	13	12787	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	14	14070	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	15	11861	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	16	13518	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	17	12108	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	18	12238	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	19	12895	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	20	11136	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	21	12103	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	22	12626	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	23	10727	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	24	11386	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	25	11259	5
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-20	21989	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-19	22817	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-18	22470	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-17	19762	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-16	22565	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-15	24793	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-14	20037	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-13	20109	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-12	20708	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-11	19464	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-10	20510	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-9	22891	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-8	20858	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-7	20924	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-6	22781	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-5	20921	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-4	21622	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-3	21179	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-2	23204	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	-1	23168	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	0	26168	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	1	26591	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	2	24179	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	3	25261	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	4	28177	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	5	26190	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	6	25815	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	7	26844	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	8	25466	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	9	24234	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	10	25570	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	11	24642	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	12	26889	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	13	27176	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	14	27758	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	15	29246	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	16	28294	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	17	28523	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	18	27958	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	19	28058	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	20	27014	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	21	27623	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	22	28008	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	23	28884	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	24	29495	3
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"	25	30916	3
