"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Gerashchenko"	"edeine_noCHX"	-20	195	5
2014	"Gerashchenko"	"edeine_noCHX"	-19	92	5
2014	"Gerashchenko"	"edeine_noCHX"	-18	118	5
2014	"Gerashchenko"	"edeine_noCHX"	-17	146	5
2014	"Gerashchenko"	"edeine_noCHX"	-16	127	5
2014	"Gerashchenko"	"edeine_noCHX"	-15	117	5
2014	"Gerashchenko"	"edeine_noCHX"	-14	98	5
2014	"Gerashchenko"	"edeine_noCHX"	-13	103	5
2014	"Gerashchenko"	"edeine_noCHX"	-12	81	5
2014	"Gerashchenko"	"edeine_noCHX"	-11	95	5
2014	"Gerashchenko"	"edeine_noCHX"	-10	145	5
2014	"Gerashchenko"	"edeine_noCHX"	-9	383	5
2014	"Gerashchenko"	"edeine_noCHX"	-8	5560	5
2014	"Gerashchenko"	"edeine_noCHX"	-7	18665	5
2014	"Gerashchenko"	"edeine_noCHX"	-6	3710	5
2014	"Gerashchenko"	"edeine_noCHX"	-5	4172	5
2014	"Gerashchenko"	"edeine_noCHX"	-4	7050	5
2014	"Gerashchenko"	"edeine_noCHX"	-3	1499	5
2014	"Gerashchenko"	"edeine_noCHX"	-2	1952	5
2014	"Gerashchenko"	"edeine_noCHX"	-1	2735	5
2014	"Gerashchenko"	"edeine_noCHX"	0	996	5
2014	"Gerashchenko"	"edeine_noCHX"	1	1895	5
2014	"Gerashchenko"	"edeine_noCHX"	2	4895	5
2014	"Gerashchenko"	"edeine_noCHX"	3	1244	5
2014	"Gerashchenko"	"edeine_noCHX"	4	574	5
2014	"Gerashchenko"	"edeine_noCHX"	5	7956	5
2014	"Gerashchenko"	"edeine_noCHX"	6	373	5
2014	"Gerashchenko"	"edeine_noCHX"	7	1032	5
2014	"Gerashchenko"	"edeine_noCHX"	8	2317	5
2014	"Gerashchenko"	"edeine_noCHX"	9	936	5
2014	"Gerashchenko"	"edeine_noCHX"	10	1339	5
2014	"Gerashchenko"	"edeine_noCHX"	11	1672	5
2014	"Gerashchenko"	"edeine_noCHX"	12	630	5
2014	"Gerashchenko"	"edeine_noCHX"	13	1141	5
2014	"Gerashchenko"	"edeine_noCHX"	14	2066	5
2014	"Gerashchenko"	"edeine_noCHX"	15	578	5
2014	"Gerashchenko"	"edeine_noCHX"	16	1437	5
2014	"Gerashchenko"	"edeine_noCHX"	17	2223	5
2014	"Gerashchenko"	"edeine_noCHX"	18	663	5
2014	"Gerashchenko"	"edeine_noCHX"	19	1314	5
2014	"Gerashchenko"	"edeine_noCHX"	20	1768	5
2014	"Gerashchenko"	"edeine_noCHX"	21	689	5
2014	"Gerashchenko"	"edeine_noCHX"	22	1336	5
2014	"Gerashchenko"	"edeine_noCHX"	23	1837	5
2014	"Gerashchenko"	"edeine_noCHX"	24	650	5
2014	"Gerashchenko"	"edeine_noCHX"	25	1473	5
2014	"Gerashchenko"	"edeine_noCHX"	-20	2585	3
2014	"Gerashchenko"	"edeine_noCHX"	-19	918	3
2014	"Gerashchenko"	"edeine_noCHX"	-18	1689	3
2014	"Gerashchenko"	"edeine_noCHX"	-17	2495	3
2014	"Gerashchenko"	"edeine_noCHX"	-16	1200	3
2014	"Gerashchenko"	"edeine_noCHX"	-15	3969	3
2014	"Gerashchenko"	"edeine_noCHX"	-14	4121	3
2014	"Gerashchenko"	"edeine_noCHX"	-13	2020	3
2014	"Gerashchenko"	"edeine_noCHX"	-12	322	3
2014	"Gerashchenko"	"edeine_noCHX"	-11	334	3
2014	"Gerashchenko"	"edeine_noCHX"	-10	282	3
2014	"Gerashchenko"	"edeine_noCHX"	-9	168	3
2014	"Gerashchenko"	"edeine_noCHX"	-8	168	3
2014	"Gerashchenko"	"edeine_noCHX"	-7	176	3
2014	"Gerashchenko"	"edeine_noCHX"	-6	102	3
2014	"Gerashchenko"	"edeine_noCHX"	-5	74	3
2014	"Gerashchenko"	"edeine_noCHX"	-4	129	3
2014	"Gerashchenko"	"edeine_noCHX"	-3	61	3
2014	"Gerashchenko"	"edeine_noCHX"	-2	89	3
2014	"Gerashchenko"	"edeine_noCHX"	-1	89	3
2014	"Gerashchenko"	"edeine_noCHX"	0	107	3
2014	"Gerashchenko"	"edeine_noCHX"	1	59	3
2014	"Gerashchenko"	"edeine_noCHX"	2	31	3
2014	"Gerashchenko"	"edeine_noCHX"	3	45	3
2014	"Gerashchenko"	"edeine_noCHX"	4	58	3
2014	"Gerashchenko"	"edeine_noCHX"	5	41	3
2014	"Gerashchenko"	"edeine_noCHX"	6	35	3
2014	"Gerashchenko"	"edeine_noCHX"	7	42	3
2014	"Gerashchenko"	"edeine_noCHX"	8	38	3
2014	"Gerashchenko"	"edeine_noCHX"	9	48	3
2014	"Gerashchenko"	"edeine_noCHX"	10	34	3
2014	"Gerashchenko"	"edeine_noCHX"	11	29	3
2014	"Gerashchenko"	"edeine_noCHX"	12	47	3
2014	"Gerashchenko"	"edeine_noCHX"	13	30	3
2014	"Gerashchenko"	"edeine_noCHX"	14	34	3
2014	"Gerashchenko"	"edeine_noCHX"	15	27	3
2014	"Gerashchenko"	"edeine_noCHX"	16	30	3
2014	"Gerashchenko"	"edeine_noCHX"	17	45	3
2014	"Gerashchenko"	"edeine_noCHX"	18	19	3
2014	"Gerashchenko"	"edeine_noCHX"	19	29	3
2014	"Gerashchenko"	"edeine_noCHX"	20	30	3
2014	"Gerashchenko"	"edeine_noCHX"	21	23	3
2014	"Gerashchenko"	"edeine_noCHX"	22	16	3
2014	"Gerashchenko"	"edeine_noCHX"	23	21	3
2014	"Gerashchenko"	"edeine_noCHX"	24	29	3
2014	"Gerashchenko"	"edeine_noCHX"	25	23	3
