"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-20	2937	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-19	2267	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-18	2386	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-17	2038	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-16	1787	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-15	1973	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-14	1826	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-13	2100	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-12	1611	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-11	1521	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-10	2451	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-9	14064	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-8	183628	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-7	472653	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-6	126752	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-5	69528	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-4	107525	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-3	45540	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-2	33397	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-1	52757	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	0	22632	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	1	31537	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	2	86782	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	3	25439	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	4	14231	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	5	89238	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	6	5616	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	7	11587	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	8	26061	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	9	9944	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	10	13677	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	11	18928	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	12	9523	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	13	10325	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	14	18502	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	15	7442	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	16	9692	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	17	15594	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	18	6668	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	19	9203	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	20	15666	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	21	6504	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	22	10940	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	23	15479	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	24	7040	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	25	10128	5
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-20	12425	3
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-19	5953	3
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-18	12372	3
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"	-17	16483	3
