"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-20	751	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-19	632	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-18	737	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-17	669	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-16	682	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-15	793	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-14	670	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-13	712	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-12	715	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-11	596	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-10	849	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-9	8648	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-8	53843	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-7	115767	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-6	17560	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-5	13308	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-4	17312	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-3	5884	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-2	8307	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	-1	10794	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	0	4928	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	1	9264	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	2	15141	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	3	4471	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	4	3588	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	5	25086	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	6	2819	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	7	6378	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	8	11753	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	9	5340	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	10	8455	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	11	10215	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	12	3326	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	13	7501	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	14	10830	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	15	3156	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	16	8303	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	17	12032	5
2014	"Gerashchenko"	"unstressed_1_4x_CHX"	18	3619	5
