"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Gerashchenko"	"unstressed_1x_CHX"	-20	647	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-19	519	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-18	581	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-17	559	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-16	492	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-15	620	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-14	549	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-13	558	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-12	522	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-11	478	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-10	666	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-9	3343	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-8	40698	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-7	109036	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-6	20488	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-5	14929	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-4	20848	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-3	5560	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-2	9549	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-1	14354	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	0	4688	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	1	7637	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	2	21630	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	3	5175	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	4	4178	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	5	43368	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	6	2798	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	7	6883	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	8	14216	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	9	4978	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	10	9109	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	11	11613	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	12	3659	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	13	8239	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	14	13046	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	15	3488	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	16	9339	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	17	13413	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	18	3764	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	19	9063	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	20	11231	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	21	3995	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	22	8729	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	23	11450	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	24	3957	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	25	10061	5
2014	"Gerashchenko"	"unstressed_1x_CHX"	-20	6415	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-19	2228	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-18	5484	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-17	6325	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-16	2144	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-15	1572	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-14	1739	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-13	742	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-12	201	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-11	130	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-10	92	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-9	79	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-8	82	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-7	93	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-6	42	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-5	47	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-4	57	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-3	44	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-2	59	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	-1	73	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	0	84	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	1	50	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	2	30	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	3	40	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	4	46	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	5	35	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	6	30	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	7	31	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	8	48	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	9	49	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	10	37	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	11	42	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	12	32	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	13	47	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	14	37	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	15	36	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	16	61	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	17	38	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	18	30	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	19	34	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	20	34	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	21	35	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	22	36	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	23	36	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	24	30	3
2014	"Gerashchenko"	"unstressed_1x_CHX"	25	31	3
