"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Guydosh"	"dom34KO_CHX"	-20	84	5
2014	"Guydosh"	"dom34KO_CHX"	-19	85	5
2014	"Guydosh"	"dom34KO_CHX"	-18	119	5
2014	"Guydosh"	"dom34KO_CHX"	-17	92	5
2014	"Guydosh"	"dom34KO_CHX"	-16	105	5
2014	"Guydosh"	"dom34KO_CHX"	-15	106	5
2014	"Guydosh"	"dom34KO_CHX"	-14	81	5
2014	"Guydosh"	"dom34KO_CHX"	-13	99	5
2014	"Guydosh"	"dom34KO_CHX"	-12	103	5
2014	"Guydosh"	"dom34KO_CHX"	-11	100	5
2014	"Guydosh"	"dom34KO_CHX"	-10	113	5
2014	"Guydosh"	"dom34KO_CHX"	-9	276	5
2014	"Guydosh"	"dom34KO_CHX"	-8	1398	5
2014	"Guydosh"	"dom34KO_CHX"	-7	10998	5
2014	"Guydosh"	"dom34KO_CHX"	-6	3112	5
2014	"Guydosh"	"dom34KO_CHX"	-5	3950	5
2014	"Guydosh"	"dom34KO_CHX"	-4	10901	5
2014	"Guydosh"	"dom34KO_CHX"	-3	3537	5
2014	"Guydosh"	"dom34KO_CHX"	-2	2406	5
2014	"Guydosh"	"dom34KO_CHX"	-1	10727	5
2014	"Guydosh"	"dom34KO_CHX"	0	4404	5
2014	"Guydosh"	"dom34KO_CHX"	1	3906	5
2014	"Guydosh"	"dom34KO_CHX"	2	11078	5
2014	"Guydosh"	"dom34KO_CHX"	3	2959	5
2014	"Guydosh"	"dom34KO_CHX"	4	1387	5
2014	"Guydosh"	"dom34KO_CHX"	5	13931	5
2014	"Guydosh"	"dom34KO_CHX"	6	3401	5
2014	"Guydosh"	"dom34KO_CHX"	7	229	5
2014	"Guydosh"	"dom34KO_CHX"	8	6207	5
2014	"Guydosh"	"dom34KO_CHX"	9	2749	5
2014	"Guydosh"	"dom34KO_CHX"	10	3522	5
2014	"Guydosh"	"dom34KO_CHX"	11	4044	5
2014	"Guydosh"	"dom34KO_CHX"	12	2575	5
2014	"Guydosh"	"dom34KO_CHX"	13	1937	5
2014	"Guydosh"	"dom34KO_CHX"	14	4825	5
2014	"Guydosh"	"dom34KO_CHX"	15	1856	5
2014	"Guydosh"	"dom34KO_CHX"	16	2414	5
2014	"Guydosh"	"dom34KO_CHX"	17	5624	5
2014	"Guydosh"	"dom34KO_CHX"	18	2979	5
2014	"Guydosh"	"dom34KO_CHX"	19	1619	5
2014	"Guydosh"	"dom34KO_CHX"	20	3909	5
2014	"Guydosh"	"dom34KO_CHX"	21	2205	5
2014	"Guydosh"	"dom34KO_CHX"	22	2650	5
2014	"Guydosh"	"dom34KO_CHX"	23	5802	5
2014	"Guydosh"	"dom34KO_CHX"	24	3111	5
2014	"Guydosh"	"dom34KO_CHX"	25	2202	5
2014	"Guydosh"	"dom34KO_CHX"	-20	14703	3
2014	"Guydosh"	"dom34KO_CHX"	-19	6439	3
2014	"Guydosh"	"dom34KO_CHX"	-18	5493	3
2014	"Guydosh"	"dom34KO_CHX"	-17	12243	3
2014	"Guydosh"	"dom34KO_CHX"	-16	9227	3
2014	"Guydosh"	"dom34KO_CHX"	-15	23922	3
2014	"Guydosh"	"dom34KO_CHX"	-14	48177	3
2014	"Guydosh"	"dom34KO_CHX"	-13	22231	3
2014	"Guydosh"	"dom34KO_CHX"	-12	5234	3
2014	"Guydosh"	"dom34KO_CHX"	-11	3463	3
2014	"Guydosh"	"dom34KO_CHX"	-10	2103	3
2014	"Guydosh"	"dom34KO_CHX"	-9	2210	3
2014	"Guydosh"	"dom34KO_CHX"	-8	1706	3
2014	"Guydosh"	"dom34KO_CHX"	-7	1700	3
2014	"Guydosh"	"dom34KO_CHX"	-6	1417	3
2014	"Guydosh"	"dom34KO_CHX"	-5	1128	3
2014	"Guydosh"	"dom34KO_CHX"	-4	1110	3
2014	"Guydosh"	"dom34KO_CHX"	-3	360	3
2014	"Guydosh"	"dom34KO_CHX"	-2	532	3
2014	"Guydosh"	"dom34KO_CHX"	-1	222	3
2014	"Guydosh"	"dom34KO_CHX"	0	189	3
2014	"Guydosh"	"dom34KO_CHX"	1	102	3
2014	"Guydosh"	"dom34KO_CHX"	2	47	3
2014	"Guydosh"	"dom34KO_CHX"	3	47	3
2014	"Guydosh"	"dom34KO_CHX"	4	72	3
2014	"Guydosh"	"dom34KO_CHX"	5	46	3
2014	"Guydosh"	"dom34KO_CHX"	6	44	3
2014	"Guydosh"	"dom34KO_CHX"	7	37	3
2014	"Guydosh"	"dom34KO_CHX"	8	44	3
2014	"Guydosh"	"dom34KO_CHX"	9	51	3
2014	"Guydosh"	"dom34KO_CHX"	10	36	3
2014	"Guydosh"	"dom34KO_CHX"	11	29	3
2014	"Guydosh"	"dom34KO_CHX"	12	48	3
2014	"Guydosh"	"dom34KO_CHX"	13	36	3
2014	"Guydosh"	"dom34KO_CHX"	14	38	3
2014	"Guydosh"	"dom34KO_CHX"	15	36	3
2014	"Guydosh"	"dom34KO_CHX"	16	46	3
2014	"Guydosh"	"dom34KO_CHX"	17	33	3
2014	"Guydosh"	"dom34KO_CHX"	18	48	3
2014	"Guydosh"	"dom34KO_CHX"	19	33	3
2014	"Guydosh"	"dom34KO_CHX"	20	45	3
2014	"Guydosh"	"dom34KO_CHX"	21	44	3
2014	"Guydosh"	"dom34KO_CHX"	22	39	3
2014	"Guydosh"	"dom34KO_CHX"	23	64	3
2014	"Guydosh"	"dom34KO_CHX"	24	40	3
2014	"Guydosh"	"dom34KO_CHX"	25	72	3
