"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Guydosh"	"dom34KO_high_Mg++"	-20	268	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-19	336	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-18	320	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-17	313	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-16	222	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-15	219	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-14	174	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-13	196	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-12	197	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-11	190	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-10	579	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-9	3483	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-8	18344	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-7	39931	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-6	11437	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-5	10090	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-4	15818	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-3	6637	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-2	7806	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-1	9912	5
2014	"Guydosh"	"dom34KO_high_Mg++"	0	6016	5
2014	"Guydosh"	"dom34KO_high_Mg++"	1	14185	5
2014	"Guydosh"	"dom34KO_high_Mg++"	2	12976	5
2014	"Guydosh"	"dom34KO_high_Mg++"	3	4361	5
2014	"Guydosh"	"dom34KO_high_Mg++"	4	7800	5
2014	"Guydosh"	"dom34KO_high_Mg++"	5	15814	5
2014	"Guydosh"	"dom34KO_high_Mg++"	6	7722	5
2014	"Guydosh"	"dom34KO_high_Mg++"	7	3256	5
2014	"Guydosh"	"dom34KO_high_Mg++"	8	9401	5
2014	"Guydosh"	"dom34KO_high_Mg++"	9	3854	5
2014	"Guydosh"	"dom34KO_high_Mg++"	10	8498	5
2014	"Guydosh"	"dom34KO_high_Mg++"	11	8023	5
2014	"Guydosh"	"dom34KO_high_Mg++"	12	3554	5
2014	"Guydosh"	"dom34KO_high_Mg++"	13	5321	5
2014	"Guydosh"	"dom34KO_high_Mg++"	14	9404	5
2014	"Guydosh"	"dom34KO_high_Mg++"	15	3358	5
2014	"Guydosh"	"dom34KO_high_Mg++"	16	6789	5
2014	"Guydosh"	"dom34KO_high_Mg++"	17	10212	5
2014	"Guydosh"	"dom34KO_high_Mg++"	18	4149	5
2014	"Guydosh"	"dom34KO_high_Mg++"	19	7805	5
2014	"Guydosh"	"dom34KO_high_Mg++"	20	9751	5
2014	"Guydosh"	"dom34KO_high_Mg++"	21	4102	5
2014	"Guydosh"	"dom34KO_high_Mg++"	22	7961	5
2014	"Guydosh"	"dom34KO_high_Mg++"	23	8985	5
2014	"Guydosh"	"dom34KO_high_Mg++"	24	4346	5
2014	"Guydosh"	"dom34KO_high_Mg++"	25	6500	5
2014	"Guydosh"	"dom34KO_high_Mg++"	-20	9586	3
2014	"Guydosh"	"dom34KO_high_Mg++"	-19	3640	3
2014	"Guydosh"	"dom34KO_high_Mg++"	-18	7785	3
2014	"Guydosh"	"dom34KO_high_Mg++"	-17	9263	3
2014	"Guydosh"	"dom34KO_high_Mg++"	-16	4281	3
2014	"Guydosh"	"dom34KO_high_Mg++"	-15	12230	3
