"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-20	5548	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-19	7517	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-18	6496	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-17	8266	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-16	8164	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-15	6965	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-14	7165	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-13	8889	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-12	9066	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-11	9786	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-10	8920	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-9	8473	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-8	9595	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-7	10838	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-6	11729	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-5	10349	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-4	12645	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-3	12935	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-2	11422	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	-1	13044	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	0	14212	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	1	16883	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	2	15975	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	3	10135	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	4	9315	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	5	17086	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	6	12725	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	7	1775	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	8	8286	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	9	7477	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	10	11129	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	11	8212	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	12	10004	5
2014	"Guydosh"	"dom34KO_mRNA-Seq"	13	8842	5
