"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-20	2179	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-19	1916	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-18	2554	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-17	1894	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-16	1772	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-15	2171	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-14	1908	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-13	1867	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-12	2027	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-11	1473	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-10	1363	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-9	5943	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-8	189903	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-7	333177	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-6	40379	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-5	51617	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-4	83284	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-3	16703	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-2	42347	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-1	62454	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	0	12062	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	1	63992	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	2	73381	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	3	10994	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	4	47700	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	5	99348	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	6	13760	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	7	49726	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	8	70080	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	9	14989	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	10	51533	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	11	81257	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	12	12384	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	13	44552	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	14	79413	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	15	12390	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	16	44204	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	17	80519	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	18	12410	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	19	43923	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	20	75132	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	21	11620	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	22	45189	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	23	75345	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	24	12067	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	25	43730	5
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-20	38105	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-19	5345	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-18	22649	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-17	38746	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-16	4807	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-15	3596	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-14	5236	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-13	1037	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-12	477	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-11	319	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-10	295	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-9	261	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-8	234	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-7	227	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-6	191	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-5	155	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-4	198	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-3	285	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-2	178	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	-1	196	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	0	257	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	1	188	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	2	183	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	3	181	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	4	131	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	5	144	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	6	122	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	7	117	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	8	170	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	9	164	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	10	142	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	11	142	3
2014	"Jan"	"sec63mVenusBirA_+CHX_7minBiotin_pulldown"	12	122	3
