"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-20	520	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-19	498	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-18	478	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-17	402	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-16	461	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-15	463	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-14	416	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-13	347	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-12	340	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-11	284	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-10	380	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-9	856	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-8	33071	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-7	85936	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-6	19289	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-5	13966	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-4	31336	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-3	9525	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-2	9703	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-1	17533	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	0	6195	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	1	15032	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	2	23303	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	3	6143	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	4	10190	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	5	27184	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	6	6284	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	7	14082	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	8	22810	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	9	8331	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	10	10797	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	11	22715	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	12	6230	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	13	10021	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	14	24036	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	15	6430	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	16	9624	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	17	24867	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	18	6336	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	19	9812	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	20	23901	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	21	6112	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	22	10952	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	23	25235	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	24	6603	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	25	10125	5
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-20	23292	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-19	6042	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-18	9947	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-17	23386	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-16	5696	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-15	18306	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-14	61410	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-13	13143	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-12	2409	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-11	1786	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-10	1336	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-9	1004	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-8	903	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-7	809	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-6	667	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-5	507	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-4	412	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-3	304	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-2	261	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	-1	223	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	0	226	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	1	186	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	2	188	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	3	155	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	4	159	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	5	132	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	6	110	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	7	123	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	8	145	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	9	114	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	10	102	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	11	76	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	12	85	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	13	77	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	14	91	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	15	98	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	16	104	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	17	112	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	18	84	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	19	85	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	20	74	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	21	73	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	22	63	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	23	101	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	24	71	3
2014	"Jan"	"sec63mVenusBirA_-CHX_1minBiotin_input"	25	72	3
