"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-20	795	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-19	793	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-18	825	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-17	660	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-16	819	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-15	776	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-14	650	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-13	562	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-12	499	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-11	450	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-10	655	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-9	3401	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-8	75685	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-7	118435	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-6	13694	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-5	27411	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-4	40803	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-3	7690	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-2	18648	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	-1	23192	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	0	5147	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	1	28510	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	2	28511	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	3	4908	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	4	17936	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	5	31743	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	6	5885	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	7	22531	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	8	27880	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	9	6188	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	10	20397	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	11	26983	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	12	5008	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	13	18407	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	14	29209	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	15	4682	5
2014	"Jan"	"sec63mVenusBirA_-CHX_5minBiotin_pulldown"	16	18517	5
