"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-20	2374	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-19	2217	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-18	2805	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-17	2274	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-16	2217	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-15	2528	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-14	2277	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-13	2231	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-12	2094	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-11	1604	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-10	1896	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-9	15521	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-8	317663	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-7	501050	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-6	52723	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-5	81324	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-4	119352	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-3	19240	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-2	63012	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	-1	92785	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	0	16243	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	1	109747	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	2	110987	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	3	18289	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	4	72224	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	5	159495	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	6	26107	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	7	82397	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	8	120658	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	9	23863	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	10	88701	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	11	120706	5
2014	"Jan"	"sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input"	12	18412	5
