"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Pop"	"WT-URA_mrna"	-20	6498	5
2014	"Pop"	"WT-URA_mrna"	-19	8227	5
2014	"Pop"	"WT-URA_mrna"	-18	7790	5
2014	"Pop"	"WT-URA_mrna"	-17	7801	5
2014	"Pop"	"WT-URA_mrna"	-16	8619	5
2014	"Pop"	"WT-URA_mrna"	-15	6175	5
2014	"Pop"	"WT-URA_mrna"	-14	6417	5
2014	"Pop"	"WT-URA_mrna"	-13	7276	5
2014	"Pop"	"WT-URA_mrna"	-12	6285	5
2014	"Pop"	"WT-URA_mrna"	-11	7206	5
2014	"Pop"	"WT-URA_mrna"	-10	5943	5
2014	"Pop"	"WT-URA_mrna"	-9	5647	5
2014	"Pop"	"WT-URA_mrna"	-8	5946	5
2014	"Pop"	"WT-URA_mrna"	-7	6547	5
2014	"Pop"	"WT-URA_mrna"	-6	5497	5
2014	"Pop"	"WT-URA_mrna"	-5	4897	5
2014	"Pop"	"WT-URA_mrna"	-4	5404	5
2014	"Pop"	"WT-URA_mrna"	-3	5222	5
2014	"Pop"	"WT-URA_mrna"	-2	4960	5
2014	"Pop"	"WT-URA_mrna"	-1	4783	5
2014	"Pop"	"WT-URA_mrna"	0	4482	5
2014	"Pop"	"WT-URA_mrna"	1	5135	5
2014	"Pop"	"WT-URA_mrna"	2	5235	5
2014	"Pop"	"WT-URA_mrna"	3	4649	5
2014	"Pop"	"WT-URA_mrna"	4	4347	5
2014	"Pop"	"WT-URA_mrna"	5	5746	5
2014	"Pop"	"WT-URA_mrna"	6	4335	5
2014	"Pop"	"WT-URA_mrna"	7	5292	5
2014	"Pop"	"WT-URA_mrna"	8	4161	5
2014	"Pop"	"WT-URA_mrna"	9	3878	5
2014	"Pop"	"WT-URA_mrna"	10	4555	5
2014	"Pop"	"WT-URA_mrna"	11	5158	5
2014	"Pop"	"WT-URA_mrna"	12	4475	5
2014	"Pop"	"WT-URA_mrna"	13	4403	5
2014	"Pop"	"WT-URA_mrna"	14	4698	5
2014	"Pop"	"WT-URA_mrna"	15	4151	5
2014	"Pop"	"WT-URA_mrna"	16	4557	5
2014	"Pop"	"WT-URA_mrna"	17	4823	5
2014	"Pop"	"WT-URA_mrna"	18	4199	5
2014	"Pop"	"WT-URA_mrna"	19	4135	5
2014	"Pop"	"WT-URA_mrna"	20	4807	5
2014	"Pop"	"WT-URA_mrna"	21	4063	5
2014	"Pop"	"WT-URA_mrna"	22	3970	5
2014	"Pop"	"WT-URA_mrna"	23	4899	5
2014	"Pop"	"WT-URA_mrna"	24	4324	5
2014	"Pop"	"WT-URA_mrna"	25	4412	5
2014	"Pop"	"WT-URA_mrna"	-20	9785	3
2014	"Pop"	"WT-URA_mrna"	-19	8881	3
2014	"Pop"	"WT-URA_mrna"	-18	8326	3
2014	"Pop"	"WT-URA_mrna"	-17	9280	3
2014	"Pop"	"WT-URA_mrna"	-16	9162	3
2014	"Pop"	"WT-URA_mrna"	-15	8876	3
2014	"Pop"	"WT-URA_mrna"	-14	9359	3
2014	"Pop"	"WT-URA_mrna"	-13	9104	3
2014	"Pop"	"WT-URA_mrna"	-12	8629	3
2014	"Pop"	"WT-URA_mrna"	-11	10706	3
2014	"Pop"	"WT-URA_mrna"	-10	9370	3
2014	"Pop"	"WT-URA_mrna"	-9	9203	3
2014	"Pop"	"WT-URA_mrna"	-8	10489	3
2014	"Pop"	"WT-URA_mrna"	-7	9876	3
2014	"Pop"	"WT-URA_mrna"	-6	9505	3
2014	"Pop"	"WT-URA_mrna"	-5	10696	3
2014	"Pop"	"WT-URA_mrna"	-4	9787	3
2014	"Pop"	"WT-URA_mrna"	-3	8900	3
2014	"Pop"	"WT-URA_mrna"	-2	11012	3
2014	"Pop"	"WT-URA_mrna"	-1	9445	3
2014	"Pop"	"WT-URA_mrna"	0	10323	3
2014	"Pop"	"WT-URA_mrna"	1	9219	3
2014	"Pop"	"WT-URA_mrna"	2	12710	3
2014	"Pop"	"WT-URA_mrna"	3	9173	3
2014	"Pop"	"WT-URA_mrna"	4	9492	3
2014	"Pop"	"WT-URA_mrna"	5	8061	3
2014	"Pop"	"WT-URA_mrna"	6	9273	3
2014	"Pop"	"WT-URA_mrna"	7	9562	3
2014	"Pop"	"WT-URA_mrna"	8	9017	3
2014	"Pop"	"WT-URA_mrna"	9	9145	3
2014	"Pop"	"WT-URA_mrna"	10	8874	3
2014	"Pop"	"WT-URA_mrna"	11	9719	3
2014	"Pop"	"WT-URA_mrna"	12	9096	3
2014	"Pop"	"WT-URA_mrna"	13	9343	3
2014	"Pop"	"WT-URA_mrna"	14	9176	3
2014	"Pop"	"WT-URA_mrna"	15	9132	3
2014	"Pop"	"WT-URA_mrna"	16	8873	3
2014	"Pop"	"WT-URA_mrna"	17	9797	3
2014	"Pop"	"WT-URA_mrna"	18	9016	3
2014	"Pop"	"WT-URA_mrna"	19	9212	3
2014	"Pop"	"WT-URA_mrna"	20	9166	3
2014	"Pop"	"WT-URA_mrna"	21	9085	3
2014	"Pop"	"WT-URA_mrna"	22	9112	3
2014	"Pop"	"WT-URA_mrna"	23	9493	3
2014	"Pop"	"WT-URA_mrna"	24	8980	3
2014	"Pop"	"WT-URA_mrna"	25	9222	3
