"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-20	1117	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-19	1029	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-18	1189	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-17	1085	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-16	1151	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-15	1059	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-14	1161	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-13	812	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-12	926	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-11	668	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-10	835	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-9	3165	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-8	109262	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-7	192249	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-6	24478	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-5	39860	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-4	67029	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-3	13845	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-2	28795	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	-1	39269	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	0	9114	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	1	40924	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	2	48712	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	3	7637	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	4	28613	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	5	58545	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	6	8648	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	7	34163	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	8	46465	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	9	10656	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	10	31008	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	11	44723	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	12	8913	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	13	28225	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	14	49772	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	15	7980	5
2014	"Williams"	"Om45mVenusBirA_-CHX_2minBiotin_pulldown"	16	27615	5
