"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-20	1066	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-19	1098	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-18	1210	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-17	1089	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-16	1288	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-15	1329	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-14	1162	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-13	1402	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-12	1138	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-11	1338	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-10	9281	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-9	99426	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-8	317953	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-7	219544	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-6	32581	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-5	68902	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-4	50339	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-3	18291	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-2	59560	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	-1	42413	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	0	26515	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	1	67677	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	2	38021	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	3	37621	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	4	26742	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	5	88612	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	6	10734	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	7	27171	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	8	34591	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	9	18702	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	10	41446	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	11	28534	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	12	12029	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	13	36000	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	14	30813	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	15	10640	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	16	33400	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	17	28370	5
2015	"Nedialkova"	"WT_ribo_YPD_rep2"	18	10852	5
