"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-20	898	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-19	808	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-18	817	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-17	899	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-16	941	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-15	895	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-14	766	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-13	856	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-12	805	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-11	2871	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-10	31459	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-9	126332	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-8	145907	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-7	79378	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-6	44071	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-5	33606	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-4	22827	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-3	28171	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-2	34151	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	-1	22907	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	0	41371	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	1	31820	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	2	19898	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	3	54186	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	4	18181	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	5	56570	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	6	15078	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	7	19445	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	8	18556	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	9	25236	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	10	24945	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	11	13623	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	12	19845	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	13	22939	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	14	15014	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	15	16102	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	16	22022	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	17	13378	5
2015	"Nedialkova"	"WT_ribo_tEKQ_rep2"	18	18032	5
