"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-20	534	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-19	529	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-18	455	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-17	723	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-16	823	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-15	779	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-14	509	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-13	671	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-12	700	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-11	2479	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-10	32473	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-9	158665	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-8	262709	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-7	142463	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-6	32297	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-5	32472	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-4	22980	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-3	16966	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-2	28889	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-1	18150	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	0	22281	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	1	26250	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	2	14286	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	3	31388	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	4	14356	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	5	36181	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	6	5596	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	7	7219	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	8	12295	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	9	13003	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	10	17664	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	11	9137	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	12	9451	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	13	16225	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	14	11578	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	15	8049	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	16	16360	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	17	10515	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	18	9341	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	19	14027	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	20	8450	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	21	10527	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	22	14317	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	23	9045	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	24	8990	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	25	14057	5
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-20	6078	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-19	7778	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-18	9824	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-17	4964	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-16	2588	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-15	3729	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-14	1688	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-13	346	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-12	146	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-11	161	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-10	147	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-9	107	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-8	177	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-7	103	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-6	77	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-5	88	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-4	116	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-3	80	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-2	80	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	-1	107	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	0	151	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	1	156	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	2	59	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	3	77	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	4	62	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	5	91	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	6	53	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	7	95	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	8	42	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	9	75	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	10	75	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	11	51	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	12	85	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	13	70	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	14	94	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	15	61	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	16	115	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	17	97	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	18	73	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	19	74	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	20	58	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	21	50	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	22	74	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	23	68	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	24	70	3
2015	"Nedialkova"	"hbs1Δncs2Δelp6Δ_ribo_YPD_rep1"	25	44	3
