"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-20	4412	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-19	5132	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-18	4837	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-17	5259	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-16	5689	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-15	4616	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-14	4633	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-13	5269	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-12	5004	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-11	5322	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-10	5167	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-9	4784	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-8	4969	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-7	5763	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-6	5374	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-5	5060	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-4	6052	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-3	5064	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-2	5579	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	-1	5898	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	0	5896	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	1	4819	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	2	6360	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	3	7755	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	4	2087	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	5	10240	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	6	2783	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	7	3800	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	8	5345	5
2015	"Nedialkova"	"ncs2Δ_mRNA_YPD_rep1"	9	5173	5
