"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-20	798	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-19	766	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-18	667	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-17	719	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-16	612	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-15	532	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-14	555	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-13	504	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-12	516	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-11	694	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-10	5121	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-9	23079	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-8	41273	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-7	24478	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-6	13362	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-5	20481	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-4	13282	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-3	9354	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-2	16916	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	-1	11372	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	0	13418	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	1	18640	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	2	9479	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	3	20004	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	4	7950	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	5	23619	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	6	6061	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	7	8651	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	8	9161	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	9	9342	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	10	14464	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	11	8413	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	12	7070	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	13	14983	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	14	10122	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	15	7471	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	16	13956	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	17	10678	5
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_noCHX_rep2"	18	8429	5
